timestep,episode,reward,coverage_ratio,threat_level_avg,visited_cells
250,1,1482.3981224999898,0.175,0.965,0
500,1,3993.898122499986,0.175,0.965,0
750,1,6806.398122499986,0.175,0.965,0
1000,1,9618.898122499986,0.175,0.965,0
1250,1,12431.398122499986,0.175,0.965,0
1500,1,15243.898122499986,0.175,0.965,0
1750,1,18056.398122499984,0.175,0.965,0
2000,1,20868.898122499984,0.175,0.965,0
2250,1,23681.398122499984,0.175,0.965,0
2500,1,26493.898122499984,0.175,0.965,0
2750,1,29306.398122499984,0.175,0.965,0
3000,1,32118.898122499984,0.175,0.965,0
3250,1,34931.39812249998,0.175,0.965,0
3500,1,37743.89812249998,0.175,0.965,0
3750,1,40556.39812249998,0.175,0.965,0
4000,1,43368.89812249998,0.175,0.965,0
4250,2,3102.9981224999974,0.275,0.8427250000000001,0
4500,2,3565.4981224999747,0.275,0.9525,0
4750,2,4027.998122499952,0.275,0.9525,0
5000,2,4615.198122500025,0.275,0.9525,0
5250,2,7552.698122500025,0.275,0.9525,0
5500,2,10951.498122500012,0.275,0.9525,0
5750,2,16363.998122499921,0.275,0.9525,0
6000,2,21776.498122500285,0.275,0.9525,0
6250,2,27188.99812250065,0.275,0.9525,0
6500,2,32601.498122501012,0.275,0.9525,0
6750,2,38013.998122501376,0.275,0.9525,0
7000,2,43679.89812250176,0.275,0.9525,0
7250,2,51567.39812250249,0.275,0.9525,0
7500,2,59454.89812250322,0.275,0.9525,0
7750,2,67342.39812250395,0.275,0.9525,0
8000,2,75229.89812250467,0.275,0.9525,0
8250,3,2146.898119999992,0.195,0.965,0
8500,3,7429.798119999943,0.195,0.965,0
8750,3,12717.298119999852,0.195,0.965,0
9000,3,18004.7981199999,0.195,0.965,0
9250,3,23292.298120000265,0.195,0.965,0
9500,3,28579.79812000063,0.195,0.965,0
9750,3,33867.29812000099,0.195,0.965,0
10000,3,39154.79812000135,0.195,0.965,0
10250,3,44442.29812000172,0.195,0.965,0
10500,3,49729.79812000208,0.195,0.965,0
10750,3,55017.298120002444,0.195,0.965,0
11000,3,60304.79812000281,0.195,0.965,0
11250,3,65592.29812000315,0.195,0.965,0
11500,3,70879.7981200017,0.195,0.965,0
11750,3,76167.29812000024,0.195,0.965,0
12000,3,81454.79811999878,0.195,0.965,0
12250,4,1033.448122500003,0.1275,0.965,0
12500,4,2881.648122499993,0.1275,0.965,0
12750,4,5828.748122499991,0.1275,0.965,0
13000,4,13369.448122499867,0.1275,0.965,0
13250,4,21910.048122499786,0.1275,0.965,0
13500,4,32147.548122499968,0.1275,0.965,0
13750,4,42385.0481224993,0.1275,0.965,0
14000,4,52622.54812249857,0.1275,0.965,0
14250,4,62860.04812249784,0.1275,0.965,0
14500,4,73097.54812249712,0.1275,0.965,0
14750,4,83335.04812249639,0.1275,0.965,0
15000,4,93572.54812249566,0.1275,0.965,0
15250,4,103810.04812249493,0.1275,0.965,0
15500,4,114047.5481224942,0.1275,0.965,0
15750,4,124285.04812249348,0.1275,0.965,0
16000,4,134785.8481224939,0.1275,0.965,0
16250,5,3775.748117500001,0.305,0.7368000000000001,0
16500,5,5185.9481175000765,0.36,0.9525,0
16750,5,5648.448117500167,0.36,0.9525,0
17000,5,6110.948117500258,0.36,0.9525,0
17250,5,6573.448117500349,0.36,0.9525,0
17500,5,7035.94811750044,0.36,0.9525,0
17750,5,7498.448117500531,0.36,0.9525,0
18000,5,7960.948117500622,0.36,0.9525,0
18250,5,8696.648117500707,0.36,0.9525,0
18500,5,11634.148117500707,0.36,0.9525,0
18750,5,14571.648117500707,0.36,0.9525,0
19000,5,17509.148117500707,0.36,0.9525,0
19250,5,20446.648117500707,0.36,0.9525,0
19500,5,24726.54811750089,0.36,0.9525,0
19750,5,30139.048117501254,0.36,0.9525,0
20000,5,35551.54811750162,0.36,0.9525,0
20250,6,1065.1481225,0.1375,0.965,0
20500,6,1695.648122499979,0.1375,0.965,0
20750,6,4508.148122499979,0.1375,0.965,0
21000,6,9609.448122499929,0.1375,0.965,0
21250,6,17371.948122499747,0.1375,0.965,0
21500,6,25134.448122499565,0.1375,0.965,0
21750,6,32896.9481224994,0.1375,0.965,0
22000,6,40659.44812250013,0.1375,0.965,0
22250,6,48421.94812250086,0.1375,0.965,0
22500,6,56184.448122501584,0.1375,0.965,0
22750,6,63946.94812250231,0.1375,0.965,0
23000,6,73853.74812250184,0.1375,0.965,0
23250,6,84091.24812250111,0.1375,0.965,0
23500,6,94328.74812250039,0.1375,0.965,0
23750,6,104566.24812249966,0.1375,0.965,0
24000,6,114803.74812249893,0.1375,0.965,0
24250,7,1145.7480875000003,0.165,0.98,0
24500,7,1333.2480875000003,0.165,0.98,0
24750,7,1520.7480875000003,0.165,0.98,0
25000,7,1708.2480875000003,0.165,0.98,0
25250,7,1895.7480875000003,0.165,0.98,0
25500,7,2083.2480875,0.165,0.98,0
25750,7,2270.7480875,0.165,0.98,0
26000,7,3236.3480875000064,0.165,0.98,0
26250,7,5898.848087499952,0.165,0.98,0
26500,7,8561.348087499862,0.165,0.98,0
26750,7,11223.848087499771,0.165,0.98,0
27000,7,13886.34808749968,0.165,0.98,0
27250,7,16548.848087499617,0.165,0.98,0
27500,7,21108.148087499583,0.165,0.98,0
27750,7,26245.6480874994,0.165,0.98,0
28000,7,31383.14808749922,0.165,0.98,0
28250,8,2931.198122499999,0.1975,0.965,0
28500,8,5743.698122499999,0.1975,0.965,0
