timestep,episode,reward,coverage_ratio,threat_level_avg,visited_cells
250,1,397.148105,0.0325,0.9675,0
500,1,1962.948105000007,0.0325,0.9675,0
750,1,4750.448105000003,0.0325,0.9675,0
1000,1,7537.948104999912,0.0325,0.9675,0
1250,1,10325.448104999821,0.0325,0.9675,0
1500,1,13112.94810499973,0.0325,0.9675,0
1750,1,15900.44810499964,0.0325,0.9675,0
2000,1,18687.948104999923,0.0325,0.9675,0
2250,1,21475.448105000287,0.0325,0.9675,0
2500,1,24262.94810500065,0.0325,0.9675,0
2750,1,27050.448105001014,0.0325,0.9675,0
3000,1,29837.94810500138,0.0325,0.9675,0
3250,1,32625.448105001742,0.0325,0.9675,0
3500,1,35412.948105002106,0.0325,0.9675,0
3750,1,38200.44810500247,0.0325,0.9675,0
4000,1,40987.94810500283,0.0325,0.9675,0
4250,2,2891.5481050000008,0.33,0.7726750000000001,0
4500,2,5914.898105000004,0.58,0.8507750000000002,0
4750,2,6502.398105000095,0.58,0.94,0
5000,2,7089.898105000186,0.58,0.94,0
5250,2,7677.398105000277,0.58,0.94,0
5500,2,8264.898105000368,0.58,0.94,0
5750,2,8852.398105000459,0.58,0.94,0
6000,2,9439.89810500055,0.58,0.94,0
6250,2,10027.39810500064,0.58,0.94,0
6500,2,10808.898105000728,0.58,0.94,0
6750,2,16045.398105000651,0.58,0.94,0
7000,2,21582.898105000986,0.58,0.94,0
7250,2,27120.39810500135,0.58,0.94,0
7500,2,33604.298105001624,0.58,0.94,0
7750,2,41616.79810500235,0.58,0.94,0
8000,2,49629.29810500308,0.58,0.94,0
8250,3,668.1981025000019,0.035,0.965,0
8500,3,3480.698102500002,0.035,0.965,0
8750,3,6293.198102500001,0.035,0.965,0
9000,3,10537.198102499953,0.035,0.965,0
9250,3,15824.698102499862,0.035,0.965,0
9500,3,21112.198102500177,0.035,0.965,0
9750,3,26399.69810250054,0.035,0.965,0
10000,3,32039.598102500848,0.035,0.965,0
10250,3,39802.09810250149,0.035,0.965,0
10500,3,47564.59810250222,0.035,0.965,0
10750,3,55327.09810250295,0.035,0.965,0
11000,3,63089.598102503674,0.035,0.965,0
11250,3,70852.0981025044,0.035,0.965,0
11500,3,78614.59810250513,0.035,0.965,0
11750,3,86377.09810250586,0.035,0.965,0
12000,3,94139.59810250658,0.035,0.965,0
12250,4,466.94808749999726,0.0675,0.975,0
12500,4,704.448087500006,0.0675,0.975,0
12750,4,941.9480875000173,0.0675,0.975,0
13000,4,1179.4480875000286,0.0675,0.975,0
13250,4,1416.94808750004,0.0675,0.975,0
13500,4,1654.4480875000513,0.0675,0.975,0
13750,4,1891.9480875000627,0.0675,0.975,0
14000,4,2129.4480875000545,0.0675,0.975,0
14250,4,2366.948087500009,0.0675,0.975,0
14500,4,2604.4480874999635,0.0675,0.975,0
14750,4,2841.948087499918,0.0675,0.975,0
15000,4,3079.4480874998726,0.0675,0.975,0
15250,4,3316.948087499827,0.0675,0.975,0
15500,4,3554.4480874997816,0.0675,0.975,0
15750,4,3791.948087499736,0.0675,0.975,0
16000,4,4029.4480874996907,0.0675,0.975,0
16250,5,2854.3981225000007,0.2275,0.93735,0
16500,5,5916.898122500001,0.2275,0.94,0
