timestep,episode,reward,estimated_team_reward,coverage_ratio,threat_level_avg,visited_cells,loss,timestamp
250,1,4.23333333333333,21.16666666666665,0.98,0.14700000000000008,392,0.0,2025-12-24T00:01:21.595818Z
500,1,0.9290000000000003,4.645000000000002,0.98,0.1541,392,0.0,2025-12-24T00:01:21.708158Z
750,1,-0.5642500000000004,-2.8212500000000027,0.98,0.531425,392,0.0,2025-12-24T00:01:21.862178Z
1000,1,-8.781749999999999,-43.90875,0.98,0.7631749999999999,392,0.0,2025-12-24T00:01:22.017944Z
1250,2,-0.1938019999999998,-0.9690099999999973,0.5575,0.7075499999999999,223,0.0,2025-12-24T00:01:22.206910Z
1500,2,-8.067565666666667,-40.337828333333334,0.7075,0.716225,283,0.0,2025-12-24T00:01:22.389542Z
1750,2,-11.43,-57.15,0.7075,1.0,283,0.0,2025-12-24T00:01:22.568371Z
2000,2,-11.43,-57.15,0.7075,1.0,283,0.0,2025-12-24T00:01:22.744567Z
2250,3,11.67825,58.39125,0.98,0.223175,392,0.0,2025-12-24T00:01:22.873015Z
2500,3,6.098999999999998,30.49499999999999,0.98,0.18810000000000004,392,0.0,2025-12-24T00:01:22.984310Z
2750,3,-0.5012500000000037,-2.506250000000019,0.98,0.2711250000000001,392,0.0,2025-12-24T00:01:23.103136Z
3000,3,-0.5665000000000004,-2.832500000000003,0.98,0.5986500000000001,392,0.0,2025-12-24T00:01:23.260361Z
3250,4,8.970833333333328,44.85416666666664,0.98,0.16825000000000007,392,0.0,2025-12-24T00:01:23.383194Z
3500,4,11.612999999999998,58.06499999999999,0.98,0.14570000000000005,392,0.0,2025-12-24T00:01:23.494646Z
3750,4,4.811999999999997,24.05999999999998,0.98,0.1678,392,0.0,2025-12-24T00:01:23.608770Z
4000,4,24.909750000000017,124.5487500000001,0.98,0.182025,392,0.0,2025-12-24T00:01:23.720796Z
4250,5,6.114000000000006,30.570000000000032,0.98,0.3856000000000001,392,0.0,2025-12-24T00:01:23.853808Z
4500,5,3.3504999999999985,16.75249999999999,0.98,0.5869500000000001,392,0.0,2025-12-24T00:01:24.010624Z
4750,5,-10.3975,-51.98750000000001,0.98,0.8697500000000002,392,0.0,2025-12-24T00:01:24.167102Z
5000,5,-11.7,-58.5,0.98,1.0,392,0.0,2025-12-24T00:01:24.318926Z
5250,6,-1.5576666666666668,-7.788333333333333,0.98,0.1401,392,0.0,2025-12-24T00:01:24.455773Z
5500,6,-1.6029999999999998,-8.015,0.98,0.1253,392,0.0,2025-12-24T00:01:24.566864Z
5750,6,-6.3205,-31.6025,0.98,0.54405,392,0.0,2025-12-24T00:01:24.683367Z
6000,6,-9.154000000000002,-45.77,0.98,0.7844000000000001,392,0.0,2025-12-24T00:01:24.805214Z
6250,7,4.183000000000002,20.915000000000006,0.98,0.20370000000000002,392,0.0,2025-12-24T00:01:24.931484Z
6500,7,2.752,13.76,0.98,0.21380000000000007,392,0.0,2025-12-24T00:01:25.042710Z
6750,7,0.1459999999999988,0.7299999999999933,0.98,0.18940000000000012,392,0.0,2025-12-24T00:01:25.158067Z
7000,7,-4.587750000000001,-22.938750000000002,0.98,0.38977500000000004,392,0.0,2025-12-24T00:01:25.275315Z
7250,8,-5.6331915,-28.1659575,0.505,0.6220749999999999,202,0.0,2025-12-24T00:01:25.614151Z
7500,8,-8.890931000000002,-44.45465500000001,0.67,0.7670250000000002,268,0.0,2025-12-24T00:01:25.942519Z
7750,8,-11.72,-58.6,0.67,1.0,268,0.0,2025-12-24T00:01:26.269029Z
8000,8,-11.72,-58.6,0.67,1.0,268,0.0,2025-12-24T00:01:26.593213Z
8250,9,4.699499999999999,23.4975,0.605,0.5840500000000001,242,0.0,2025-12-24T00:01:26.735434Z
8500,9,0.809000000000001,4.045000000000002,0.605,0.7800999999999999,242,0.0,2025-12-24T00:01:26.864337Z
8750,9,-10.7,-53.5,0.605,1.0,242,0.0,2025-12-24T00:01:26.992097Z
9000,9,-10.7,-53.5,0.605,1.0,242,0.0,2025-12-24T00:01:27.118882Z
9250,10,9.29533333333333,46.47666666666665,0.98,0.2168000000000001,392,0.0,2025-12-24T00:01:27.248749Z
9500,10,-3.062000000000002,-15.31000000000001,0.98,0.42920000000000014,392,0.0,2025-12-24T00:01:27.378754Z
9750,10,-0.547499999999987,-2.737499999999933,0.98,0.76575,392,0.0,2025-12-24T00:01:27.557864Z
10000,10,-11.7,-58.5,0.98,1.0,392,0.0,2025-12-24T00:01:27.739193Z
10250,11,6.752666666666666,33.763333333333335,0.98,0.19640000000000005,392,0.0,2025-12-24T00:01:27.861008Z
10500,11,-3.1992500000000015,-15.996250000000007,0.98,0.46892500000000015,392,0.0,2025-12-24T00:01:27.992742Z
10750,11,-8.682,-43.410000000000004,0.98,0.7612000000000001,392,0.0,2025-12-24T00:01:28.177146Z
11000,11,-11.34,-56.7,0.98,1.0,392,0.0,2025-12-24T00:01:28.361459Z
11250,12,8.67707683333336,43.38538416666679,0.98,0.15032500000000001,392,0.0,2025-12-24T00:01:28.491833Z
11500,12,-0.8365000000000027,-4.182500000000012,0.98,0.4446500000000001,392,0.0,2025-12-24T00:01:28.621735Z
11750,12,-0.4094999999999853,-2.0474999999999284,0.98,0.75995,392,0.0,2025-12-24T00:01:28.805802Z
12000,12,-11.34,-56.7,0.98,1.0,392,0.0,2025-12-24T00:01:28.993261Z
12250,13,-3.848000000000001,-19.240000000000006,0.9775,0.3488000000000001,391,0.0,2025-12-24T00:01:29.125221Z
12500,13,-9.520249999999999,-47.60125,0.9775,0.845025,391,0.0,2025-12-24T00:01:29.273207Z
12750,13,-11.34,-56.7,0.9775,1.0,391,0.0,2025-12-24T00:01:29.453926Z
13000,13,-11.34,-56.7,0.9775,1.0,391,0.0,2025-12-24T00:01:29.637855Z
13250,14,0.4920833333333343,2.460416666666673,0.98,0.209125,392,0.0,2025-12-24T00:01:29.765727Z
13500,14,11.27575,56.37875,0.98,0.14142500000000008,392,0.0,2025-12-24T00:01:29.877712Z
13750,14,6.059250000000002,30.296250000000015,0.98,0.17307500000000003,392,0.0,2025-12-24T00:01:29.994175Z
14000,14,-4.394000000000001,-21.970000000000006,0.98,0.3694000000000001,392,0.0,2025-12-24T00:01:30.119362Z
14250,15,0.47225000000000605,2.361250000000034,0.56,0.6197750000000001,224,0.0,2025-12-24T00:01:30.414307Z
14500,15,-3.9152499999999995,-19.576249999999995,0.805,0.692525,322,0.0,2025-12-24T00:01:30.704706Z
14750,15,-9.23075,-46.15375,0.87,0.8070750000000001,348,0.0,2025-12-24T00:01:30.995312Z
15000,15,-11.49,-57.45,0.87,1.0,348,0.0,2025-12-24T00:01:31.278892Z
15250,16,5.666583333333328,28.332916666666645,0.98,0.23867500000000008,392,0.0,2025-12-24T00:01:31.407764Z
15500,16,4.589249999999998,22.94624999999999,0.98,0.45607499999999995,392,0.0,2025-12-24T00:01:31.528873Z
15750,16,-11.25,-56.25,0.98,1.0,392,0.0,2025-12-24T00:01:31.701582Z
