timestep,episode,reward,estimated_team_reward,coverage_ratio,threat_level_avg,exploration_score,loss,timestamp
250,0,0.0,0.0,0.13,0.823275,52.0,,2025-12-22T00:17:05.115217Z
500,0,0.0,0.0,0.2825,0.8161750000000001,113.0,,2025-12-22T00:17:05.637753Z
750,0,0.0,0.0,0.34,0.84895,136.0,,2025-12-22T00:17:06.182852Z
1000,0,0.0,0.0,0.415,0.7803249999999999,166.0,,2025-12-22T00:17:06.747449Z
1250,0,0.0,0.0,0.5175,0.8244500000000001,207.0,,2025-12-22T00:17:07.270976Z
1500,0,0.0,0.0,0.575,0.796275,230.0,,2025-12-22T00:17:07.932702Z
1750,1,11952.206819785759,23904.413639571518,0.11,0.8290750000000001,44.0,,2025-12-22T00:17:08.448265Z
2000,1,11952.206819785759,23904.413639571518,0.2375,0.7709750000000001,95.0,,2025-12-22T00:17:08.982379Z
2250,1,11952.206819785759,23904.413639571518,0.4075,0.787,163.0,7999.9599609375,2025-12-22T00:17:10.675528Z
2500,1,11952.206819785759,23904.413639571518,0.4625,0.738425,185.0,7999.9599609375,2025-12-22T00:17:11.182763Z
2750,1,11952.206819785759,23904.413639571518,0.57,0.81375,228.0,7999.9599609375,2025-12-22T00:17:11.715492Z
3000,1,11952.206819785759,23904.413639571518,0.615,0.7829250000000001,246.0,7999.9599609375,2025-12-22T00:17:12.202370Z
3250,2,12014.04118827451,24028.08237654902,0.05,0.40842500000000015,20.0,7999.9599609375,2025-12-22T00:17:12.708930Z
3500,2,12014.04118827451,24028.08237654902,0.215,0.7626000000000001,86.0,7999.9599609375,2025-12-22T00:17:13.427078Z
3750,2,12014.04118827451,24028.08237654902,0.3725,0.807825,149.0,7999.9599609375,2025-12-22T00:17:13.954909Z
4000,2,12014.04118827451,24028.08237654902,0.495,0.8321999999999999,198.0,7999.9599609375,2025-12-22T00:17:14.460348Z
4250,2,12014.04118827451,24028.08237654902,0.57,0.79525,228.0,8476.1376953125,2025-12-22T00:17:16.108277Z
4500,2,12014.04118827451,24028.08237654902,0.6375,0.7164500000000001,255.0,8476.1376953125,2025-12-22T00:17:16.636793Z
4750,2,12014.04118827451,24028.08237654902,0.6975,0.7942750000000001,279.0,8476.1376953125,2025-12-22T00:17:17.156658Z
5000,3,12444.062924305597,24888.125848611195,0.115,0.868975,46.0,8476.1376953125,2025-12-22T00:17:17.683302Z
5250,3,12444.062924305597,24888.125848611195,0.2325,0.794475,93.0,8476.1376953125,2025-12-22T00:17:18.182379Z
5500,3,12444.062924305597,24888.125848611195,0.365,0.84735,146.0,8476.1376953125,2025-12-22T00:17:18.672949Z
5750,3,12444.062924305597,24888.125848611195,0.465,0.7501750000000001,186.0,8476.1376953125,2025-12-22T00:17:19.282800Z
6000,3,12444.062924305597,24888.125848611195,0.535,0.8077000000000001,214.0,8476.1376953125,2025-12-22T00:17:19.784276Z
6250,3,12444.062924305597,24888.125848611195,0.5975,0.7521000000000001,239.0,8115.7021484375,2025-12-22T00:17:21.443953Z
6500,4,12710.958130925428,25421.916261850856,0.0975,0.740775,39.0,8115.7021484375,2025-12-22T00:17:21.968151Z
6750,4,12710.958130925428,25421.916261850856,0.295,0.689575,118.0,8115.7021484375,2025-12-22T00:17:22.481529Z
7000,4,12710.958130925428,25421.916261850856,0.445,0.6995500000000001,178.0,8115.7021484375,2025-12-22T00:17:22.984983Z
7250,4,12710.958130925428,25421.916261850856,0.59,0.85575,236.0,8115.7021484375,2025-12-22T00:17:23.525304Z
7500,4,12710.958130925428,25421.916261850856,0.675,0.715325,270.0,8115.7021484375,2025-12-22T00:17:24.167258Z
7750,4,12710.958130925428,25421.916261850856,0.7425,0.8279000000000001,297.0,8115.7021484375,2025-12-22T00:17:24.675839Z
8000,5,13258.604396229237,26517.208792458474,0.7825,0.7431500000000001,313.0,8115.7021484375,2025-12-22T00:17:25.195543Z
8250,5,13258.604396229237,26517.208792458474,0.2325,0.7780750000000001,93.0,13706.0517578125,2025-12-22T00:17:26.900715Z
8500,5,13258.604396229237,26517.208792458474,0.3725,0.6834250000000001,149.0,13706.0517578125,2025-12-22T00:17:27.403522Z
8750,5,13258.604396229237,26517.208792458474,0.4875,0.7299000000000001,195.0,13706.0517578125,2025-12-22T00:17:27.927957Z
9000,5,13258.604396229237,26517.208792458474,0.58,0.82735,232.0,13706.0517578125,2025-12-22T00:17:28.432535Z
9250,5,13258.604396229237,26517.208792458474,0.67,0.7868999999999999,268.0,13706.0517578125,2025-12-22T00:17:28.954282Z
9500,5,13258.604396229237,26517.208792458474,0.7225,0.760125,289.0,13706.0517578125,2025-12-22T00:17:29.466052Z
9750,6,13476.09366906248,26952.18733812496,0.1425,0.76405,57.0,13706.0517578125,2025-12-22T00:17:30.128718Z
10000,6,13476.09366906248,26952.18733812496,0.2975,0.6976750000000002,119.0,13706.0517578125,2025-12-22T00:17:30.645168Z
10250,6,13476.09366906248,26952.18733812496,0.51,0.672625,204.0,12088.201171875,2025-12-22T00:17:32.312017Z
10500,6,13476.09366906248,26952.18733812496,0.6175,0.773875,247.0,12088.201171875,2025-12-22T00:17:32.829280Z
10750,6,13476.09366906248,26952.18733812496,0.7025,0.75185,281.0,12088.201171875,2025-12-22T00:17:33.329336Z
11000,6,13476.09366906248,26952.18733812496,0.8025,0.7325750000000001,321.0,12088.201171875,2025-12-22T00:17:33.868691Z
11250,7,13801.69314141066,27603.38628282132,0.07,0.3962000000000001,28.0,12088.201171875,2025-12-22T00:17:34.403326Z
11500,7,13801.69314141066,27603.38628282132,0.2225,0.7553,89.0,12088.201171875,2025-12-22T00:17:34.918103Z
11750,7,13801.69314141066,27603.38628282132,0.35,0.8160250000000001,140.0,12088.201171875,2025-12-22T00:17:35.568612Z
12000,7,13801.69314141066,27603.38628282132,0.465,0.762775,186.0,12088.201171875,2025-12-22T00:17:36.078433Z
12250,7,13801.69314141066,27603.38628282132,0.5925,0.730875,237.0,12088.201171875,2025-12-22T00:17:36.585811Z
