#{"t_start": 1769209167.5604265, "env_id": "None"}
r,l,t,coverage_ratio,average_threat_level
82137.075625,4000,4.592685,1.0,0.7250000000000001
53523.729172,4000,9.172739,1.0,0.54671875
70227.451594,4000,13.791763,1.0,0.6570312500000001
70423.175719,4000,18.464053,1.0,0.5859375
62490.078375,4000,23.320296,1.0,0.5181250000000002
40890.100672,4000,28.081013,1.0,0.593125
43842.556297,4000,32.81577,1.0,0.4332812500000001
41706.739406,4000,37.54629,1.0,0.5906250000000001
59741.524469,4000,42.305689,1.0,0.5953125000000001
43667.497438,4000,47.059352,1.0,0.3834375
58115.902047,4000,51.825685,1.0,0.44999999999999996
48131.039812,4000,56.672443,1.0,0.65671875
48098.365266,4000,61.431451,1.0,0.55234375
48561.456766,4000,66.270005,1.0,0.56515625
36874.402344,4000,71.09596,1.0,0.6260937500000001
61056.498234,4000,75.9613,1.0,0.505625
53627.413453,4000,80.838536,1.0,0.5545312500000001
51429.388016,4000,85.812519,1.0,0.45265625000000004
49183.202422,4000,90.680717,1.0,0.6826562500000002
42982.211938,4000,95.516474,1.0,0.5332812500000002
57736.282047,4000,100.371085,1.0,0.47218750000000004
58914.993656,4000,104.23985,1.0,0.78125
57817.546031,4000,109.084536,1.0,0.4075
48632.55975,4000,113.906572,1.0,0.44250000000000006
50220.939875,4000,118.752986,1.0,0.6515625
55689.445297,4000,123.575593,1.0,0.5009375
54063.958609,4000,128.415357,1.0,0.73515625
46053.799359,4000,133.259713,1.0,0.3335937500000001
54712.710438,4000,138.097015,1.0,0.32046875
41537.707984,4000,142.943671,1.0,0.3492187500000001
36289.444797,4000,147.791438,1.0,0.5103125000000001
56779.648953,4000,152.774172,1.0,0.6128125
55734.145797,4000,157.645163,1.0,0.4614062500000002
57668.294094,4000,162.488922,1.0,0.566875
49392.911875,4000,167.342122,1.0,0.4359375000000001
55660.983625,4000,172.238293,1.0,0.45218749999999996
48846.3505,4000,177.140291,1.0,0.46750000000000014
51616.749734,4000,182.023799,1.0,0.2821875000000001
54589.590484,4000,186.904425,1.0,0.46953125000000007
51122.310875,4000,191.788463,1.0,0.519375
55275.684781,4000,196.672024,1.0,0.43046875000000007
64007.845516,4000,201.536336,1.0,0.54859375
48587.470656,4000,205.38115,1.0,0.5454687500000001
49138.3605,4000,210.268187,1.0,0.39218750000000013
61121.604141,4000,215.695065,1.0,0.34609375
59985.061906,4000,220.56871,1.0,0.35953125000000014
51605.2495,4000,225.451458,1.0,0.5556250000000001
54356.812437,4000,230.327481,1.0,0.82765625
62374.518313,4000,235.192761,1.0,0.6115625
54006.57375,4000,240.116125,1.0,0.335
