time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/loss,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/learning_rate,rollout/ep_len_mean,train/clip_fraction,train/n_updates,rollout/ep_rew_mean,train/value_loss,train/approx_kl,train/explained_variance
1391,1,1,2048,,,,,,,,,,,,
1010,4,2,4096,128474.1796875,-0.0030153139334288424,0.2,-1.3831359069794416,0.0003,4000.0,0.003173828125,10,82137.075625,203628.98364257812,0.0061979676,0.00018727779388427734
963,6,3,6144,57720.33203125,-0.0031412283788085915,0.2,-1.3793121840804816,0.0003,4000.0,0.005419921875,20,82137.075625,151997.15061035156,0.005281116,-1.5735626220703125e-05
941,8,4,8192,37508.98046875,-0.002748073229304282,0.2,-1.3819558635354041,0.0003,4000.0,0.01650390625,30,67830.4023985,84077.80290527343,0.0073587755,-6.4373016357421875e-06
928,11,5,10240,28256.419921875,-0.0021495211083674805,0.2,-1.3780728127807378,0.0003,4000.0,0.007861328125,40,67830.4023985,57597.70913085937,0.0083727995,2.562999725341797e-06
917,13,6,12288,43163.4609375,-0.0042586942894558884,0.2,-1.3695619594305755,0.0003,4000.0,0.02587890625,50,68629.418797,103659.53394775391,0.0094399825,-5.841255187988281e-06
911,15,7,14336,64107.41015625,-0.004422388593229698,0.2,-1.3732585329562426,0.0003,4000.0,0.02744140625,60,68629.418797,124102.85073242188,0.008708176,1.7881393432617188e-07
903,18,8,16384,49160.00390625,-0.0009142884271568618,0.2,-1.3770854022353887,0.0003,4000.0,0.0,70,69077.8580275,97772.68232421875,0.0016787576,5.960464477539062e-07
897,20,9,18432,63430.296875,-0.0011246882895648014,0.2,-1.380308734253049,0.0003,4000.0,0.0,80,69077.8580275,137761.12001953126,0.0011351816,-5.960464477539062e-07
886,23,10,20480,41382.09375,-0.006044194295827765,0.2,-1.3609518062323331,0.0003,4000.0,0.040673828125,90,67760.30209699999,87227.23511962891,0.016094835,-3.5762786865234375e-07
884,25,11,22528,26801.0546875,-0.0029873897779907565,0.2,-1.3556173533201217,0.0003,4000.0,0.024462890625,100,67760.30209699999,59805.57845458984,0.006762964,-1.1920928955078125e-07
880,27,12,24576,17832.900390625,-0.004788722436205717,0.2,-1.3383026234805584,0.0003,4000.0,0.0306640625,110,63281.93519283333,45104.3534362793,0.0077741556,-3.5762786865234375e-07
879,30,13,26624,21597.396484375,-0.002196916220418643,0.2,-1.3288365971297025,0.0003,4000.0,0.02568359375,120,63281.93519283333,45289.99522705078,0.008515522,-1.1920928955078125e-07
877,32,14,28672,14393.833984375,-0.004826517916080774,0.2,-1.2853596374392509,0.0003,4000.0,0.044677734375,130,60504.88106485714,36959.56723632813,0.011614156,-1.1920928955078125e-07
875,35,15,30720,17888.958984375,-0.004903661383286817,0.2,-1.2804218664765359,0.0003,4000.0,0.022265625,140,60504.88106485714,45816.43544921875,0.0047752727,-2.384185791015625e-07
874,37,16,32768,17920.142578125,-0.000977658067131415,0.2,-1.2774128876626492,0.0003,4000.0,0.000341796875,150,58155.1133575,33309.949871826175,0.004977208,0.0
872,39,17,34816,24018.21875,-0.004179709516756702,0.2,-1.2654000613838434,0.0003,4000.0,0.015283203125,160,58155.1133575,53657.00857543945,0.006734903,-1.1920928955078125e-07
870,42,18,36864,41247.40625,-0.009680256835417822,0.2,-1.2457818891853094,0.0003,4000.0,0.07880859375,170,58331.38125877778,87129.46383056641,0.013458235,-1.1920928955078125e-07
870,44,19,38912,28654.44140625,-0.004927583067910746,0.2,-1.1494979850947857,0.0003,4000.0,0.02705078125,180,58331.38125877778,62355.4066040039,0.011312973,0.0
869,47,20,40960,16269.2529296875,-0.0019499240806908347,0.2,-1.109003086388111,0.0003,4000.0,0.002197265625,190,56864.99287670001,41029.411120605466,0.0047250492,0.0
868,49,21,43008,17494.888671875,-0.003626667241042014,0.2,-1.113871333748102,0.0003,4000.0,0.014306640625,200,56864.99287670001,37387.69310302734,0.004386021,5.960464477539063e-08
866,51,22,45056,35784.16796875,-0.008331089251441881,0.2,-1.158501474186778,0.0003,4000.0,0.098291015625,210,56978.711892181826,66363.18853759766,0.011714965,1.1920928955078125e-07
865,54,23,47104,31971.025390625,-0.005185738448199117,0.2,-1.1186333920806646,0.0003,4000.0,0.022705078125,220,56978.711892181826,67688.20921630859,0.0071157403,0.0
864,56,24,49152,32027.173828125,-0.005864026640483644,0.2,-1.128556588664651,0.0003,4000.0,0.07314453125,230,56241.40588550001,47585.86962890625,0.009381663,0.0
863,59,25,51200,12122.9560546875,-0.002105226015555672,0.2,-1.1856268987059593,0.0003,4000.0,0.00576171875,240,56241.40588550001,29244.667462158202,0.005730439,5.960464477539063e-08
862,61,26,53248,20312.828125,-0.0026047873936477116,0.2,-1.2241464596241713,0.0003,4000.0,0.0078125,250,55615.01814553847,58199.477807617186,0.009653548,-1.1920928955078125e-07
861,64,27,55296,28091.267578125,-0.004423114807286766,0.2,-1.2396427065134048,0.0003,4000.0,0.053759765625,260,55615.01814553847,50213.336462402345,0.0076452284,-1.1920928955078125e-07
860,66,28,57344,14784.033203125,-0.00547768970427569,0.2,-1.142980718240142,0.0003,4000.0,0.066650390625,270,55111.192332714294,39808.277355957034,0.009038269,0.0
859,69,29,59392,15204.4130859375,-0.0025913529287208805,0.2,-1.177814831212163,0.0003,4000.0,0.00498046875,280,55111.192332714294,31149.48490600586,0.0010981252,0.0
858,71,30,61440,12824.17578125,-0.0026232526637613774,0.2,-1.1802270565181971,0.0003,4000.0,0.024267578125,290,53895.40633346668,29693.496524047852,0.0073744347,0.0
857,74,31,63488,26491.185546875,-0.005234121115063317,0.2,-1.2989583540707828,0.0003,4000.0,0.05185546875,300,53895.40633346668,40519.102557373044,0.012493568,1.1920928955078125e-07
857,76,32,65536,29401.560546875,-0.0014772100636037066,0.2,-1.310977616906166,0.0003,4000.0,0.0,310,54342.97457725,92847.9596069336,0.0019208665,0.0
856,78,33,67584,28847.068359375,-0.0047179933128063565,0.2,-1.2706474468111992,0.0003,4000.0,0.02861328125,320,54342.97457725,67883.47395019532,0.011372182,0.0
855,81,34,69632,29832.69140625,-0.005497759584250162,0.2,-1.2018322378396988,0.0003,4000.0,0.05087890625,330,54300.88274641177,58180.19885253906,0.007412732,0.0
853,83,35,71680,14205.0830078125,-0.005880976744811051,0.2,-1.287458185479045,0.0003,4000.0,0.0462890625,340,54300.88274641177,42355.28890380859,0.008863398,-1.1920928955078125e-07
852,86,36,73728,24137.697265625,-0.0027837905727210455,0.2,-1.2315933421254157,0.0003,4000.0,0.026220703125,350,54141.3552613889,55469.85147705078,0.009639639,0.0
852,88,37,75776,28486.20703125,-0.006935175922990311,0.2,-1.1751605857163667,0.0003,4000.0,0.07783203125,360,54141.3552613889,54200.11611328125,0.013269797,0.0
851,91,38,77824,14021.3125,-0.004313461013953202,0.2,-1.1325122363865376,0.0003,4000.0,0.031689453125,370,53880.39984878948,39573.10647583008,0.0084885545,0.0
851,93,39,79872,12405.1943359375,-0.0032277189355227167,0.2,-1.1062044821679593,0.0003,4000.0,0.009326171875,380,53880.39984878948,23465.330975341796,0.004623199,-1.1920928955078125e-07
850,96,40,81920,15040.8662109375,-0.0025177714829624164,0.2,-1.1710975226014853,0.0003,4000.0,0.020947265625,390,53335.49045325001,33888.98804931641,0.008181611,-1.1920928955078125e-07
