#{"t_start": 1769191025.9915557, "env_id": "None"}
r,l,t,coverage_ratio,average_threat_level
58819.267422,4000,5.04819,1.0,0.7165625
60707.034125,4000,9.839077,1.0,0.6842187500000001
54059.865766,4000,14.664687,1.0,0.67328125
53311.868094,4000,19.515895,1.0,0.38328124999999996
46339.180125,4000,24.473883,1.0,0.5048437500000003
42616.202719,4000,29.374216,1.0,0.42140625000000015
68706.497,4000,34.421723,1.0,0.64453125
44520.529484,4000,39.525898,1.0,0.56890625
38716.735703,4000,44.549657,1.0,0.6353125000000001
52367.003578,4000,49.715511,1.0,0.4017187500000002
48877.080406,4000,54.784894,1.0,0.45171875000000006
47998.673594,4000,59.864873,1.0,0.6703125000000001
52362.927484,4000,64.996522,1.0,0.58734375
45951.715953,4000,70.275819,1.0,0.38640625
48854.397906,4000,75.652792,1.0,0.44859375000000007
44135.348375,4000,80.905027,1.0,0.2604687500000001
40236.943422,4000,86.083166,1.0,0.5462500000000002
55359.431406,4000,91.131296,1.0,0.6614062500000001
39604.288609,4000,96.484567,1.0,0.3500000000000001
57665.954594,4000,101.558122,1.0,0.48203125000000013
40943.100266,4000,106.688874,1.0,0.5123437500000002
47167.123312,4000,110.935879,1.0,0.24500000000000005
45033.150672,4000,116.016482,1.0,0.3310937499999999
42217.451563,4000,121.12173,1.0,0.40640624999999997
53977.274812,4000,126.30618,1.0,0.3764062500000001
52832.223641,4000,131.385834,1.0,0.66421875
37453.942813,4000,136.510618,1.0,0.34546875000000005
36528.421859,4000,141.657282,1.0,0.3568750000000001
47614.839625,4000,146.789694,1.0,0.7518750000000001
41056.999203,4000,151.959973,1.0,0.3414062500000001
54062.834844,4000,157.11599,1.0,0.7353125000000001
47774.833922,4000,162.270596,1.0,0.34625
43493.564281,4000,167.552457,1.0,0.30484375000000014
43232.769953,4000,172.76464,1.0,0.5642187500000001
51938.082656,4000,178.152477,1.0,0.5221875
47779.700719,4000,183.339361,1.0,0.35937500000000017
39226.358187,4000,188.567323,1.0,0.3890625000000001
46308.657219,4000,193.9137,1.0,0.5237500000000002
50484.563453,4000,199.216172,1.0,0.41109375000000015
49593.947234,4000,204.558502,1.0,0.58125
39678.781094,4000,209.871021,1.0,0.45406250000000004
44428.398328,4000,215.05581,1.0,0.6101562500000001
47269.346734,4000,219.257343,1.0,0.696875
45397.75125,4000,224.465264,1.0,0.30374999999999996
46420.100203,4000,229.681256,1.0,0.4079687500000001
39170.499484,4000,234.911606,1.0,0.514375
47670.566094,4000,240.269782,1.0,0.3223437500000001
41172.155969,4000,245.635364,1.0,0.39375000000000004
40665.286969,4000,250.912141,1.0,0.5112500000000001
48844.328437,4000,256.195498,1.0,0.5048437500000001
