r,l,t,coverage_ratio,average_threat_level,coverage_100_step,approx_kl,clip_fraction,entropy_loss,policy_gradient_loss,value_loss,explained_variance
36509.45403312496,4000,3.3539533615112305,1.0,0.5890000000000001,819,0.0,0.0,0.0,0.0,0.0,0.0
34143.434016250045,4000,6.051335573196411,1.0,0.4305250000000001,801,0.0,0.0,0.0,0.0,0.0,0.0
35225.670359375006,4000,8.727133989334106,1.0,0.45582500000000004,834,0.0,0.0,0.0,0.0,0.0,0.0
35970.143006250044,4000,11.396429538726807,1.0,0.37435000000000007,790,0.0,0.0,0.0,0.0,0.0,0.0
37421.89869374999,4000,14.069645166397095,1.0,0.5081750000000002,826,0.0,0.0,0.0,0.0,0.0,0.0
35631.796041249996,4000,16.736257314682007,1.0,0.5210500000000001,835,0.0,0.0,0.0,0.0,0.0,0.0
35861.1899899999,4000,19.3909170627594,1.0,0.46005,807,0.0,0.0,0.0,0.0,0.0,0.0
34854.23252749998,4000,22.075048446655273,1.0,0.50275,821,0.0,0.0,0.0,0.0,0.0,0.0
35928.13682624999,4000,24.76675534248352,1.0,0.5103749999999999,842,0.0,0.0,0.0,0.0,0.0,0.0
34872.855240625,4000,27.451730966567993,1.0,0.5345500000000001,839,0.0,0.0,0.0,0.0,0.0,0.0
33968.37617874994,4000,30.08639645576477,1.0,0.39840000000000003,788,0.0,0.0,0.0,0.0,0.0,0.0
36838.63213812501,4000,32.70655274391174,1.0,0.41202500000000014,795,0.0,0.0,0.0,0.0,0.0,0.0
34807.87945937499,4000,35.602473974227905,1.0,0.3951,822,0.0,0.0,0.0,0.0,0.0,0.0
35371.03595374998,4000,38.29483222961426,1.0,0.4360750000000001,787,0.0,0.0,0.0,0.0,0.0,0.0
34538.26503687497,4000,40.93711042404175,1.0,0.5622250000000001,836,0.0,0.0,0.0,0.0,0.0,0.0
35488.21509250011,4000,43.6134352684021,1.0,0.4831250000000001,822,0.0,0.0,0.0,0.0,0.0,0.0
34925.25451937511,4000,46.2866792678833,1.0,0.46690000000000004,812,0.0,0.0,0.0,0.0,0.0,0.0
36612.12169375011,4000,48.98272657394409,1.0,0.4809750000000001,825,0.0,0.0,0.0,0.0,0.0,0.0
34262.925179999955,4000,51.65454578399658,1.0,0.461175,854,0.0,0.0,0.0,0.0,0.0,0.0
35688.61721187496,4000,54.29460573196411,1.0,0.40519999999999995,786,0.0,0.0,0.0,0.0,0.0,0.0
38297.58019249993,4000,56.9670352935791,1.0,0.4635750000000002,834,0.0,0.0,0.0,0.0,0.0,0.0
39073.22760687498,4000,59.584970235824585,1.0,0.4408500000000001,798,0.0,0.0,0.0,0.0,0.0,0.0
37587.97947999995,4000,62.234135389328,1.0,0.46775,828,0.0,0.0,0.0,0.0,0.0,0.0
34645.92517874992,4000,64.88823294639587,1.0,0.5099,832,0.0,0.0,0.0,0.0,0.0,0.0
35887.93453999991,4000,67.63186860084534,1.0,0.4892750000000002,818,0.0,0.0,0.0,0.0,0.0,0.0
35013.74612500004,4000,70.31564211845398,1.0,0.494925,851,0.0,0.0,0.0,0.0,0.0,0.0
36571.055666250075,4000,72.9581229686737,1.0,0.43425,838,0.0,0.0,0.0,0.0,0.0,0.0
36537.76858125002,4000,75.64086532592773,1.0,0.43420000000000003,813,0.0,0.0,0.0,0.0,0.0,0.0
35094.37073312511,4000,78.3223512172699,1.0,0.4520750000000001,817,0.0,0.0,0.0,0.0,0.0,0.0
35254.498057500045,4000,81.00731706619263,1.0,0.506075,834,0.0,0.0,0.0,0.0,0.0,0.0
36079.65312312497,4000,83.66146922111511,1.0,0.4879500000000001,801,0.0,0.0,0.0,0.0,0.0,0.0
35984.06587812497,4000,86.35244631767273,1.0,0.5038000000000001,817,0.0,0.0,0.0,0.0,0.0,0.0
36420.58109625002,4000,88.97428011894226,1.0,0.3789500000000001,807,0.0,0.0,0.0,0.0,0.0,0.0
36418.65632500003,4000,91.63637375831604,1.0,0.425225,832,0.0,0.0,0.0,0.0,0.0,0.0
33371.96121562502,4000,94.32813310623169,1.0,0.612825,845,0.0,0.0,0.0,0.0,0.0,0.0
35055.53573249987,4000,96.99674439430237,1.0,0.48910000000000003,816,0.0,0.0,0.0,0.0,0.0,0.0
35602.808329375046,4000,99.85182666778564,1.0,0.4936999999999999,837,0.0,0.0,0.0,0.0,0.0,0.0
35841.176243125046,4000,102.52893090248108,1.0,0.4094,805,0.0,0.0,0.0,0.0,0.0,0.0
34228.47479187502,4000,105.19787645339966,1.0,0.546175,808,0.0,0.0,0.0,0.0,0.0,0.0
33969.63266187498,4000,107.8564202785492,1.0,0.4299250000000001,789,0.0,0.0,0.0,0.0,0.0,0.0
34056.42195562496,4000,110.50086307525635,1.0,0.445,810,0.0,0.0,0.0,0.0,0.0,0.0
34083.0867931249,4000,113.15236496925354,1.0,0.39437500000000014,810,0.0,0.0,0.0,0.0,0.0,0.0
33790.46016874994,4000,115.81810331344604,1.0,0.4852250000000001,844,0.0,0.0,0.0,0.0,0.0,0.0
35602.43502062512,4000,118.4843327999115,1.0,0.557975,834,0.0,0.0,0.0,0.0,0.0,0.0
35203.65331562501,4000,121.12696480751038,1.0,0.3944,831,0.0,0.0,0.0,0.0,0.0,0.0
34583.3209875,4000,123.78599119186401,1.0,0.39927500000000005,839,0.0,0.0,0.0,0.0,0.0,0.0
36973.56194437504,4000,126.46530938148499,1.0,0.5557000000000003,815,0.0,0.0,0.0,0.0,0.0,0.0
33946.76403125004,4000,129.12956619262695,1.0,0.433975,805,0.0,0.0,0.0,0.0,0.0,0.0
35323.54228999993,4000,131.89951920509338,1.0,0.46767500000000006,798,0.0,0.0,0.0,0.0,0.0,0.0
34054.571299999945,4000,134.57505702972412,1.0,0.48412500000000025,812,0.0,0.0,0.0,0.0,0.0,0.0
