#{"t_start": 1768102136.144696, "env_id": "None"}
r,l,t,coverage_ratio,average_threat_level
63908.737835,4000,6.495652,1.0,0.8694
53828.344155,4000,13.007996,1.0,0.8655000000000002
70309.817542,4000,19.634756,1.0,0.73905
75999.96561,4000,26.278901,1.0,0.860475
75922.387998,4000,33.222986,1.0,0.7202500000000001
71182.5496,4000,39.920746,1.0,0.7757000000000001
72687.411985,4000,46.506879,1.0,0.7687
78765.390548,4000,53.177603,1.0,0.833675
72306.068912,4000,59.818956,1.0,0.7146000000000003
78249.989987,4000,66.510642,1.0,0.7564750000000001
74480.262525,4000,73.133199,1.0,0.8615
72357.987985,4000,79.758807,1.0,0.803025
78329.508283,4000,86.420422,1.0,0.68265
82365.25,4000,93.146206,1.0,0.8371750000000001
74862.929265,4000,99.963582,1.0,0.7568250000000001
77592.80101,4000,106.637477,1.0,0.7957250000000002
79805.475862,4000,113.594283,1.0,0.7491500000000002
74518.405095,4000,120.355048,1.0,0.731
79946.851235,4000,127.35418,1.0,0.8365500000000001
70036.547255,4000,134.464151,1.0,0.8194500000000002
76267.183833,4000,141.150747,1.0,0.86075
72366.1255,4000,146.749419,1.0,0.7398500000000001
80474.84232,4000,153.469735,1.0,0.6632500000000001
75995.46531,4000,160.262392,1.0,0.79025
76837.07587,4000,167.259707,1.0,0.8743500000000002
80372.51153,4000,173.98066,1.0,0.7160000000000001
73063.027303,4000,180.708094,1.0,0.6683250000000003
72504.123157,4000,187.464229,1.0,0.7777250000000001
75780.445313,4000,194.298998,1.0,0.7938
77353.311697,4000,201.065174,1.0,0.8064000000000001
80318.8126,4000,207.827457,1.0,0.655575
75461.707045,4000,214.612696,1.0,0.9083249999999999
81035.396078,4000,221.430167,1.0,0.56225
72449.44408,4000,228.65641,1.0,0.6524500000000001
67824.589833,4000,235.438594,1.0,0.8820250000000001
69903.186642,4000,242.207202,1.0,0.5973750000000001
74681.875828,4000,249.073846,1.0,0.8079000000000002
78615.43902,4000,255.990228,1.0,0.8359500000000001
78988.573955,4000,262.927214,1.0,0.6796750000000001
79252.482935,4000,269.813571,1.0,0.7289250000000002
77405.46833,4000,276.673277,1.0,0.8101000000000002
76863.18976,4000,283.56204,1.0,0.7796000000000001
80488.888895,4000,289.447604,1.0,0.8173000000000001
78459.791327,4000,296.399895,1.0,0.7297250000000003
78563.957435,4000,303.309377,1.0,0.8058499999999998
88035.147782,4000,310.254092,1.0,0.7115
74210.798593,4000,317.188641,1.0,0.815925
76320.210082,4000,324.190087,1.0,0.7560750000000002
80236.081925,4000,331.083106,1.0,0.8030750000000001
78464.009203,4000,337.941975,1.0,0.8748750000000001
