timestep,episode,reward,estimated_team_reward,coverage_ratio,threat_level_avg,exploration_score,loss,timestamp
250,0,0.0,0.0,0.3975,0.6258500000000001,159.0,,2025-12-22T00:27:05.458495Z
500,0,0.0,0.0,0.515,0.56235,206.0,,2025-12-22T00:27:06.089326Z
750,0,0.0,0.0,0.7525,0.5967000000000001,301.0,,2025-12-22T00:27:06.736958Z
1000,0,0.0,0.0,0.8525,0.5692250000000001,341.0,,2025-12-22T00:27:07.371352Z
1250,0,0.0,0.0,0.8875,0.5906250000000001,355.0,,2025-12-22T00:27:08.026872Z
1500,0,0.0,0.0,0.9,0.5949750000000001,360.0,,2025-12-22T00:27:08.844914Z
1750,1,8835.616648906842,44178.08324453421,0.2675,0.5545750000000002,107.0,,2025-12-22T00:27:09.493823Z
2000,1,8835.616648906842,44178.08324453421,0.4675,0.49805000000000005,187.0,,2025-12-22T00:27:10.139198Z
2250,1,8835.616648906842,44178.08324453421,0.6575,0.5758000000000001,263.0,3495.304931640625,2025-12-22T00:27:12.333441Z
2500,1,8835.616648906842,44178.08324453421,0.7775,0.5444,311.0,3495.304931640625,2025-12-22T00:27:13.000025Z
2750,1,8835.616648906842,44178.08324453421,0.845,0.6091000000000001,338.0,3495.304931640625,2025-12-22T00:27:13.649594Z
3000,1,8835.616648906842,44178.08324453421,0.94,0.5238750000000001,376.0,3495.304931640625,2025-12-22T00:27:14.272971Z
3250,2,9060.477541195054,45302.38770597527,0.11,0.2636000000000001,44.0,3495.304931640625,2025-12-22T00:27:14.943271Z
3500,2,9060.477541195054,45302.38770597527,0.425,0.600025,170.0,3495.304931640625,2025-12-22T00:27:15.604067Z
3750,2,9060.477541195054,45302.38770597527,0.5625,0.5418750000000001,225.0,3495.304931640625,2025-12-22T00:27:16.366611Z
4000,2,9060.477541195054,45302.38770597527,0.715,0.6572,286.0,3495.304931640625,2025-12-22T00:27:17.012174Z
4250,2,9060.477541195054,45302.38770597527,0.76,0.60385,304.0,4226.3388671875,2025-12-22T00:27:19.214572Z
4500,2,9060.477541195054,45302.38770597527,0.7775,0.5095750000000001,311.0,4226.3388671875,2025-12-22T00:27:19.848631Z
4750,2,9060.477541195054,45302.38770597527,0.82,0.4628750000000001,328.0,4226.3388671875,2025-12-22T00:27:20.511073Z
5000,3,8795.180797111127,43975.90398555563,0.2875,0.59305,115.0,4226.3388671875,2025-12-22T00:27:21.180258Z
5250,3,8795.180797111127,43975.90398555563,0.495,0.5523,198.0,4226.3388671875,2025-12-22T00:27:21.833495Z
5500,3,8795.180797111127,43975.90398555563,0.625,0.54,250.0,4226.3388671875,2025-12-22T00:27:22.466340Z
5750,3,8795.180797111127,43975.90398555563,0.755,0.5594750000000001,302.0,4226.3388671875,2025-12-22T00:27:23.228556Z
6000,3,8795.180797111127,43975.90398555563,0.835,0.515225,334.0,4226.3388671875,2025-12-22T00:27:23.872032Z
6250,3,8795.180797111127,43975.90398555563,0.89,0.52185,356.0,3176.159423828125,2025-12-22T00:27:26.069387Z
6500,4,8887.553218779067,44437.766093895334,0.18,0.6160250000000002,72.0,3176.159423828125,2025-12-22T00:27:26.717796Z
6750,4,8887.553218779067,44437.766093895334,0.535,0.5155000000000001,214.0,3176.159423828125,2025-12-22T00:27:27.381599Z
7000,4,8887.553218779067,44437.766093895334,0.715,0.6105000000000002,286.0,3176.159423828125,2025-12-22T00:27:28.027278Z
7250,4,8887.553218779067,44437.766093895334,0.815,0.5674000000000001,326.0,3176.159423828125,2025-12-22T00:27:28.677222Z
7500,4,8887.553218779067,44437.766093895334,0.8925,0.576675,357.0,3176.159423828125,2025-12-22T00:27:29.327500Z
7750,4,8887.553218779067,44437.766093895334,0.91,0.5742750000000001,364.0,3176.159423828125,2025-12-22T00:27:30.114898Z
8000,5,9085.008037223783,45425.04018611892,0.9175,0.5909750000000001,367.0,3176.159423828125,2025-12-22T00:27:30.791532Z
8250,5,9085.008037223783,45425.04018611892,0.3675,0.5613250000000001,147.0,4135.01953125,2025-12-22T00:27:33.003868Z
8500,5,9085.008037223783,45425.04018611892,0.565,0.5214750000000001,226.0,4135.01953125,2025-12-22T00:27:33.671665Z
8750,5,9085.008037223783,45425.04018611892,0.6625,0.6107750000000001,265.0,4135.01953125,2025-12-22T00:27:34.305275Z
