timestep,mean_reward,coverage_ratio,average_threat_level
250,1080.4148116666665,0.2225,0.0
500,2147.081478333335,0.2225,0.0
750,3213.7481450000546,0.2225,0.0
1000,4280.414811666755,0.2225,0.0
1250,5920.857857500082,0.3275,0.0
1500,6015.318690833405,0.3275,0.0
1750,6856.985357500102,0.3275,0.0
2000,8344.118690833478,0.3275,0.0
2250,8377.800179166721,0.0975,0.0
2500,8437.266845833326,0.0975,0.0
2750,9237.266845833508,0.0975,0.0
3000,10037.26684583369,0.0975,0.0
3250,10219.73167750029,0.1725,0.0
3500,10194.731677500198,0.1725,0.0
3750,10169.731677500107,0.1725,0.0
4000,10144.731677500016,0.1725,0.0
4250,10289.29381500013,0.0525,0.0
4500,10405.960481666918,0.0525,0.0
4750,11191.19381500022,0.0525,0.0
5000,12132.860481666827,0.0525,0.0
5250,12563.791985000318,0.155,0.0
5500,13707.325318333684,0.155,0.0
5750,14861.49198500038,0.155,0.0
6000,16015.658651667078,0.155,0.0
6250,16110.873475833774,0.125,0.0
6500,16140.040142500471,0.125,0.0
6750,16448.373475833814,0.125,0.0
7000,17302.540142500784,0.125,0.0
7250,17370.43504833444,0.1175,0.0
7500,17345.435048334803,0.1175,0.0
7750,17484.10171500178,0.1175,0.0
8000,19068.168381668438,0.1175,0.0
8250,19446.529301668656,0.2175,0.0
8500,19421.52930166902,0.2175,0.0
8750,19396.529301669383,0.2175,0.0
9000,19371.529301669747,0.2175,0.0
9250,19809.810810003233,0.2375,0.0
9500,19784.810810003597,0.2375,0.0
9750,19759.81081000396,0.2375,0.0
10000,20459.477476670814,0.2375,0.0
10250,21353.69228833761,0.1875,0.0
10500,22387.192288338032,0.1875,0.0
10750,24217.6256216716,0.1875,0.0
11000,26891.69228833832,0.1875,0.0
11250,26928.157127505037,0.0775,0.0
11500,27424.257127504996,0.0775,0.0
11750,28245.090460838208,0.0775,0.0
12000,29065.92379417142,0.0775,0.0
12250,29140.171979171042,0.08,0.0
12500,29280.205312504044,0.08,0.0
12750,30134.371979171014,0.08,0.0
13000,30988.538645837983,0.08,0.0
13250,31853.43767667134,0.21,0.0
13500,32672.706114171226,0.21,0.0
13750,33491.97455167111,0.21,0.0
14000,34583.8096558379,0.21,0.0
14250,36031.44909917131,0.305,0.0
14500,37894.235888338226,0.52,0.0
14750,38150.96922167215,0.52,0.0
15000,39042.63588833858,0.52,0.0
15250,39590.03403833876,0.24,0.0
15500,39565.03403833912,0.24,0.0
15750,39540.03403833949,0.24,0.0
16000,39515.03403833985,0.24,0.0
16250,39535.03079834017,0.0625,0.0
16500,39510.03079834054,0.0625,0.0
16750,40146.99746500669,0.0625,0.0
17000,41437.36413167308,0.0625,0.0
17250,42918.60620917295,0.3875,0.0
17500,45286.643777506346,0.655,0.0
17750,45361.64377750707,0.655,0.0
18000,45436.6437775078,0.655,0.0
18250,46850.61868667451,0.3025,0.0
18500,46881.218686674154,0.3025,0.0
18750,46906.21868667379,0.3025,0.0
19000,46931.21868667343,0.3025,0.0
19250,47413.50018750703,0.265,0.0
19500,47380.16685417418,0.265,0.0
19750,47346.833520841334,0.265,0.0
20000,47313.500187508485,0.265,0.0
20250,47784.14836000847,0.1875,0.0
20500,48205.98169334205,0.1875,0.0
20750,49997.31502667527,0.1875,0.0
21000,51888.981693341695,0.1875,0.0
21250,52781.129868342105,0.145,0.0
21500,53856.12986834283,0.145,0.0
21750,57140.09653500938,0.145,0.0
22000,61515.09653500938,0.145,0.0
22250,62030.94471000977,0.2475,0.0
22500,62051.77804334371,0.2475,0.0
22750,62776.14471001022,0.2475,0.0
23000,64446.9780433438,0.2475,0.0
23250,65841.50956417713,0.34,0.0
23500,66739.6595641774,0.4475,0.0
23750,66823.82623084474,0.4475,0.0
24000,68411.59289751036,0.4475,0.0
24250,68926.8910550108,0.26,0.0
24500,69413.45772167854,0.26,0.0
24750,70188.45772168,0.26,0.0
25000,70963.45772168145,0.26,0.0
25250,71541.9225508485,0.215,0.0
25500,71741.92255084922,0.215,0.0
25750,71941.92255084995,0.215,0.0
26000,72141.92255085068,0.215,0.0
26250,72646.0207383498,0.235,0.0
26500,73015.68740501543,0.235,0.0
26750,73815.6874050147,0.235,0.0
27000,74615.68740501397,0.235,0.0
27250,75942.21890334804,0.185,0.0
27500,77188.05223668234,0.185,0.0
27750,78433.88557001665,0.185,0.0
28000,79679.71890335095,0.185,0.0
28250,79827.33090501693,0.1575,0.0
28500,79768.99757168263,0.1575,0.0
28750,79710.66423834833,0.1575,0.0
29000,79652.33090501402,0.1575,0.0
29250,81321.36238334839,0.155,0.0
29500,83221.36238334984,0.155,0.0
29750,86329.79571668245,0.155,0.0
30000,89879.79571668172,0.155,0.0
30250,90526.69388668251,0.065,0.0
30500,91568.36055335039,0.065,0.0
30750,92610.02722001827,0.065,0.0
31000,93973.76055335169,0.065,0.0
31250,95523.95330335174,0.34,0.0
31500,97988.75330335183,0.5775,0.0
31750,98063.75330335255,0.5775,0.0
32000,98146.25330335324,0.5775,0.0
32250,99579.43481168628,0.3475,0.0
32500,101964.16890668574,0.505,0.0
32750,103689.16890668428,0.505,0.0
33000,105414.16890668283,0.505,0.0
33250,106491.18371334995,0.185,0.0
33500,107566.18371335068,0.185,0.0
33750,108641.1837133514,0.185,0.0
34000,109716.18371335213,0.185,0.0
34250,111684.06851168555,0.305,0.0
34500,113690.62312418508,0.4325,0.0
34750,115161.28979085134,0.4325,0.0
35000,117470.15645751826,0.4325,0.0
35250,118758.428994185,0.2475,0.0
35500,120698.49377751877,0.2475,0.0
35750,122835.51571835214,0.2475,0.0
36000,125183.89884335174,0.2475,0.0
36250,125216.63034918575,0.1275,0.0
36500,125166.63034918648,0.1275,0.0
36750,125778.59701585434,0.1275,0.0
37000,126553.59701585579,0.1275,0.0
37250,127011.81185752162,0.0825,0.0
37500,127811.8118575209,0.0825,0.0
37750,128611.81185752017,0.0825,0.0
38000,129411.81185751944,0.0825,0.0
38250,130940.12667168619,0.23,0.0
38500,132798.4600050164,0.23,0.0
38750,134656.79333834632,0.23,0.0
39000,137081.39333834595,0.23,0.0
39250,137161.45818251144,0.13,0.0
39500,137136.45818251,0.13,0.0
39750,137567.4915158425,0.13,0.0
40000,139192.4915158425,0.13,0.0
40250,140799.88969084277,0.2975,0.0
40500,142474.88969084568,0.2975,0.0
40750,144149.8896908486,0.2975,0.0
41000,145824.8896908515,0.2975,0.0
41250,147424.3545325183,0.35,0.0
41500,149099.35453252122,0.35,0.0
41750,150774.35453252413,0.35,0.0
42000,152449.35453252704,0.35,0.0
42250,152663.78428335843,0.145,0.0
42500,152613.78428335552,0.145,0.0
42750,153254.1176166884,0.145,0.0
43000,154854.11761668694,0.145,0.0
43250,156577.69543835337,0.37,0.0
43500,157647.34543835215,0.3875,0.0
43750,159291.31210502159,0.3875,0.0
44000,160966.3121050245,0.3875,0.0
44250,160962.09361086047,0.1075,0.0
44500,160887.09361086338,0.1075,0.0
44750,160812.0936108663,0.1075,0.0
45000,160737.0936108692,0.1075,0.0
45250,162552.40846253562,0.3525,0.0
45500,165095.24179586885,0.555,0.0
45750,165320.2417958674,0.555,0.0
46000,166156.3751292018,0.555,0.0
46250,166320.6399708673,0.175,0.0
46500,166683.7066375346,0.175,0.0
46750,167483.7066375375,0.175,0.0
47000,168283.70663754042,0.175,0.0
47250,168394.75478754213,0.12,0.0
47500,168353.0881208779,0.12,0.0
47750,168311.42145421365,0.12,0.0
48000,168269.7547875494,0.12,0.0
48250,168569.83629338178,0.1875,0.0
48500,168544.83629338033,0.1875,0.0
48750,168519.83629337887,0.1875,0.0
49000,168494.83629337742,0.1875,0.0
49250,168870.28448087745,0.1275,0.0
49500,169923.1511475414,0.1275,0.0
49750,170998.15114753848,0.1275,0.0
50000,172647.01781420506,0.1275,0.0
50250,173042.797568373,0.1975,0.0
50500,173309.6642350413,0.1975,0.0
50750,174059.6642350413,0.1975,0.0
51000,174809.6642350413,0.1975,0.0
51250,175406.19453504047,0.225,0.0
51500,175381.19453503902,0.225,0.0
51750,175356.19453503756,0.225,0.0
52000,175331.1945350361,0.225,0.0
52250,175368.20743503494,0.08,0.0
52500,175391.37410170044,0.08,0.0
52750,176191.37410170335,0.08,0.0
53000,176991.37410170626,0.08,0.0
53250,177552.88893337228,0.2575,0.0
53500,177972.05560003986,0.2575,0.0
53750,178772.05560004278,0.2575,0.0
54000,179572.05560004569,0.2575,0.0
54250,180185.8870883787,0.2075,0.0
54500,180960.88708838014,0.2075,0.0
54750,181735.8870883816,0.2075,0.0
55000,182510.88708838305,0.2075,0.0
55250,184286.05104504988,0.315,0.0
55500,185636.1611400492,0.355,0.0
55750,187260.34241921303,0.355,0.0
56000,188912.95616920985,0.355,0.0
56250,189308.70433920933,0.2225,0.0
56500,189283.70433920788,0.2225,0.0
56750,189258.70433920642,0.2225,0.0
57000,189268.67100587185,0.2225,0.0
57250,190638.84979587173,0.3375,0.0
57500,191133.06646253946,0.4,0.0
57750,191158.0664625409,0.4,0.0
58000,191874.73312920652,0.4,0.0
58250,192211.59797587316,0.125,0.0
58500,193136.76464253754,0.125,0.0
