timestep,mean_reward,coverage_ratio,average_threat_level
250,297.6444083333306,0.1775,0.0
500,318.4777416666592,0.1775,0.0
750,908.8777416666567,0.1775,0.0
1000,1754.7110750000127,0.1775,0.0
1250,2900.6207191667054,0.13,0.0
1500,4046.4540525000766,0.13,0.0
1750,5428.554052500022,0.13,0.0
2000,7399.387385833325,0.13,0.0
2250,7434.518906666699,0.135,0.0
2500,7649.152240000058,0.135,0.0
2750,9249.152239999967,0.135,0.0
3000,10849.152239999876,0.135,0.0
3250,11425.853572499835,0.22,0.0
3500,11765.976072499841,0.22,0.0
3750,12262.261439999807,0.22,0.0
4000,13010.706960833037,0.22,0.0
4250,13540.938466666492,0.21,0.0
4500,13840.938466666674,0.21,0.0
4750,14522.405133333434,0.21,0.0
5000,15647.405133333434,0.21,0.0
5250,16829.653305833574,0.195,0.0
5500,18685.653305833814,0.195,0.0
5750,20543.98663916739,0.195,0.0
6000,22402.319972500965,0.195,0.0
6250,22468.901488334603,0.1125,0.0
6500,22443.901488334966,0.1125,0.0
6750,23087.468155001832,0.1125,0.0
7000,23887.468155002014,0.1125,0.0
7250,24361.699648335296,0.1375,0.0
7500,25026.632981668514,0.1375,0.0
7750,26888.132981668357,0.1375,0.0
8000,29742.299648335327,0.1375,0.0
8250,30077.946316668524,0.1275,0.0
8500,30340.44631666834,0.1275,0.0
8750,30602.94631666816,0.1275,0.0
9000,30865.446316667978,0.1275,0.0
9250,31504.97783750124,0.225,0.0
9500,31579.977837501057,0.225,0.0
9750,32439.0445041674,0.225,0.0
10000,33339.04450416704,0.225,0.0
10250,34190.24358583355,0.2675,0.0
10500,34639.14358583285,0.2675,0.0
10750,35781.643585832724,0.2675,0.0
11000,39188.71025249955,0.2675,0.0
11250,39837.541745833114,0.2625,0.0
11500,39912.54174583384,0.2625,0.0
11750,39987.54174583457,0.2625,0.0
12000,40062.5417458353,0.2625,0.0
12250,40772.18990333574,0.0275,0.0
12500,41901.356570003256,0.0275,0.0
12750,43030.52323667077,0.0275,0.0
13000,44159.68990333829,0.0275,0.0
13250,44630.354745005265,0.2625,0.0
13500,44705.35474500599,0.2625,0.0
13750,44868.121411673266,0.2625,0.0
14000,45768.1214116729,0.2625,0.0
14250,46495.90293250616,0.165,0.0
14500,47507.569599172944,0.165,0.0
14750,50115.33626584016,0.165,0.0
15000,53582.00293250731,0.165,0.0
15250,53555.11777917331,0.0825,0.0
15500,53480.117779172586,0.0825,0.0
15750,53405.11777917186,0.0825,0.0
16000,53330.11777917113,0.0825,0.0
16250,53431.86595167142,0.1475,0.0
16500,53406.86595167178,0.1475,0.0
16750,53381.865951672145,0.1475,0.0
17000,53356.86595167251,0.1475,0.0
17250,53405.96413917293,0.1,0.0
17500,54067.597472505826,0.1,0.0
17750,54859.264139171886,0.1,0.0
18000,55650.93080583795,0.1,0.0
18250,56212.92899333779,0.27,0.0
18500,56246.262326670636,0.27,0.0
18750,56279.595660003484,0.27,0.0
19000,56312.92899333633,0.27,0.0
19250,56540.06050166946,0.1675,0.0
19500,56565.0605016691,0.1675,0.0
