timestep,mean_reward,episode_length,coverage_ratio,average_threat_level,average_battery,elapsed_time
250,4232.182766666658,1000,0.0975,0.0,99.0006666666619,9.502655506134033
500,6081.699424166695,1000,0.08,0.0,99.0006666666619,18.828158378601074
750,3733.6039425000504,1000,0.0775,0.0,99.00666666666193,28.204124450683594
1000,4465.1981850000275,1000,0.075,0.0,99.00199999999523,37.59898376464844
1250,3345.6316758333196,1000,0.055,0.0,99.00133333332856,46.91670489311218
1500,3974.566666666652,1000,0.0675,0.0,98.99999999999523,56.32422852516174
1750,11408.100000000017,1000,0.0475,0.0,98.99999999999523,65.7485818862915
2000,4021.9333333332784,1000,0.09,0.0,98.99999999999523,74.90094423294067
2250,6019.433333333378,1000,0.1025,0.0,98.99999999999523,84.29489755630493
2500,4240.633333333301,1000,0.0775,0.0,98.99999999999523,93.62739896774292
2750,1307.8999999999753,1000,0.0475,0.0,98.99999999999523,102.98048710823059
3000,3969.4999999999773,1000,0.1,0.0,98.99999999999523,112.3466386795044
3250,4843.100000000017,1000,0.0725,0.0,98.99999999999523,121.76516771316528
3500,3648.1333333333437,1000,0.0675,0.0,98.99999999999523,131.170264005661
3750,2611.466666666661,1000,0.085,0.0,98.99999999999523,140.42955231666565
4000,844.8491533333438,1000,0.045,0.0,99.00099999999524,149.7555832862854
4250,7273.966666666616,1000,0.0775,0.0,98.99999999999523,159.1489748954773
4500,2349.0980916666895,1000,0.025,0.0,99.33299999999683,168.57514691352844
4750,908.733333333318,1000,0.0575,0.0,98.99999999999523,177.97418880462646
5000,3781.933333333322,1000,0.0575,0.0,98.99999999999523,187.3656690120697
5250,2944.4333333333743,1000,0.0725,0.0,98.99999999999523,196.70961213111877
5500,12493.666666666522,1000,0.07,0.0,98.99999999999523,206.06960010528564
5750,5732.600000000078,1000,0.085,0.0,98.99999999999523,215.42031908035278
6000,3009.2977808333526,1000,0.0375,0.0,99.00266666666191,224.76962232589722
6250,1995.2000000000057,1000,0.09,0.0,98.99999999999523,234.16813278198242
6500,4566.933333333344,1000,0.055,0.0,98.99999999999523,243.49300813674927
6750,2421.999999999963,1000,0.0675,0.0,98.99999999999523,252.82803869247437
7000,3019.866666666654,1000,0.07,0.0,98.99999999999523,262.2290322780609
7250,962.0999999999761,1000,0.065,0.0,98.99999999999523,271.6872978210449
7500,1841.8333333333478,1000,0.0775,0.0,98.99999999999523,281.07808113098145
7750,5999.763966666622,1000,0.0875,0.0,99.00366666666191,290.503075838089
8000,4560.699999999984,1000,0.0975,0.0,98.99999999999523,299.89203786849976
8250,3578.4000000000256,1000,0.065,0.0,98.99999999999523,309.2793915271759
8500,8463.966074166661,1000,0.0675,0.0,99.0006666666619,318.6156747341156
8750,1732.5333333333635,1000,0.0875,0.0,98.99999999999523,327.81292700767517
9000,4916.900000000041,1000,0.1125,0.0,98.99999999999523,337.22697496414185
9250,682.0310149999962,1000,0.045,0.0,99.00266666666191,346.5595004558563
9500,1624.66581833333,1000,0.065,0.0,99.00099999999524,355.89547777175903
9750,4642.680333333296,1000,0.03,0.0,99.00266666666191,365.26117157936096
10000,8667.533333333298,1000,0.0725,0.0,98.99999999999523,374.64307832717896
10250,4054.06666666663,1000,0.0575,0.0,98.99999999999523,384.02187609672546
10500,3959.833333333274,1000,0.0225,0.0,98.99999999999523,393.05948543548584
10750,4602.333333333316,1000,0.075,0.0,98.99999999999523,402.47853994369507
11000,1131.9333333333393,1000,0.095,0.0,98.99999999999523,411.8627827167511
11250,3967.700000000056,1000,0.1075,0.0,98.99999999999523,421.2303764820099
11500,4365.799999999998,1000,0.0675,0.0,98.99999999999523,430.60163736343384
11750,2646.897221666691,1000,0.0725,0.0,99.00366666666191,439.91408014297485
12000,5512.4666666666,1000,0.0825,0.0,98.99999999999523,449.2725775241852
12250,2623.4333333333216,1000,0.03,0.0,98.99999999999523,458.33277773857117
12500,947.4991666666439,1000,0.05,0.0,99.00099999999524,467.64480113983154
12750,1559.2000000000173,1000,0.055,0.0,98.99999999999523,477.0408308506012
13000,1549.3321658333282,1000,0.0325,0.0,99.00133333332856,486.39755845069885
13250,817.2994349999877,1000,0.07,0.0,99.0006666666619,495.6897668838501
13500,5489.199445000058,1000,0.0725,0.0,99.0006666666619,505.0964078903198
13750,5350.632166666727,1000,0.0575,0.0,99.00133333332856,514.443587064743
14000,9256.833333333365,1000,0.08,0.0,98.99999999999523,523.7481961250305
14250,5191.333333333286,1000,0.0575,0.0,98.99999999999523,533.0739738941193
14500,3171.7315608333274,1000,0.0725,0.0,99.00233333332858,542.5016534328461
14750,7025.433333333256,1000,0.0675,0.0,98.99999999999523,551.8843257427216
15000,4170.166666666641,1000,0.0375,0.0,98.99999999999523,561.2424383163452
15250,3032.666666666674,1000,0.0375,0.0,98.99999999999523,570.6157252788544
15500,4012.0333333333906,1000,0.07,0.0,98.99999999999523,580.0197100639343
15750,6352.164478333263,1000,0.0525,0.0,99.00266666666191,589.4472558498383
16000,2132.2000000000007,1000,0.05,0.0,98.99999999999523,598.8870961666107
16250,1226.133333333331,1000,0.0525,0.0,98.99999999999523,608.2704284191132
16500,4387.116666666741,1000,0.0625,0.0,98.99999999999523,617.66335105896
16750,8326.099422499936,1000,0.035,0.0,99.0006666666619,627.0381288528442
17000,6632.2994374999835,1000,0.07,0.0,99.0006666666619,636.3567609786987
17250,3737.0666666666393,1000,0.09,0.0,98.99999999999523,645.7761027812958
17500,5410.566105000004,1000,0.075,0.0,99.0006666666619,655.1703033447266
17750,6677.765010833422,1000,0.0925,0.0,99.00133333332856,664.5027356147766
18000,8425.68035416663,1000,0.1075,0.0,99.00266666666191,673.8235628604889
18250,5893.249437500006,1000,0.04,0.0,99.0006666666619,683.2350134849548
18500,1277.2666666666557,1000,0.0625,0.0,98.99999999999523,692.632244348526
18750,6339.233333333334,1000,0.09,0.0,98.99999999999523,701.9672365188599
19000,3254.03277333333,1000,0.0775,0.0,99.0006666666619,711.1115691661835
19250,906.333333333318,1000,0.0525,0.0,98.99999999999523,720.500869512558
19500,2308.3958933333215,1000,0.08,0.0,99.00533333332858,729.891037940979
19750,2052.6666666666742,1000,0.105,0.0,98.99999999999523,739.2416987419128
20000,4843.1333333333205,1000,0.085,0.0,98.99999999999523,748.6169149875641
20250,6001.816102500054,1000,0.0675,0.0,99.0006666666619,757.9963414669037
20500,3877.4821649999544,1000,0.085,0.0,99.00133333332856,767.3437976837158
20750,905.2666666666514,1000,0.055,0.0,98.99999999999523,776.4414658546448
21000,2838.666666666684,1000,0.0625,0.0,98.99999999999523,785.8253946304321
21250,1087.366666666687,1000,0.0675,0.0,98.99999999999523,795.1772320270538
