timestep,mean_reward,coverage_ratio,average_threat_level
250,191.91484666666838,0.1825,0.0
500,150.24818000000408,0.1825,0.0
750,882.7481800000024,0.1825,0.0
1000,1666.0815133333572,0.1825,0.0
1250,2872.6630341666873,0.3025,0.0
1500,2897.6630341666646,0.3025,0.0
1750,3109.42970083332,0.3025,0.0
2000,3959.429700833343,0.3025,0.0
2250,4264.827858333317,0.135,0.0
2500,5232.094524999991,0.135,0.0
2750,7102.927858333385,0.135,0.0
3000,8973.76119166678,0.135,0.0
3250,9260.92601083339,0.1975,0.0
3500,9235.926010833298,0.1975,0.0
3750,9978.49267750013,0.1975,0.0
4000,10778.492677500311,0.1975,0.0
4250,12170.757521666987,0.32,0.0
4500,13287.424188333775,0.32,0.0
4750,14404.090855000562,0.32,0.0
5000,15520.75752166735,0.32,0.0
5250,15538.972338333931,0.0775,0.0
5500,15513.97233833384,0.0775,0.0
5750,15488.97233833375,0.0775,0.0
6000,15463.972338333659,0.0775,0.0
6250,15716.217715833594,0.17,0.0
6500,15691.217715833503,0.17,0.0
6750,15666.217715833413,0.17,0.0
7000,15641.217715833322,0.17,0.0
7250,16182.082562500058,0.11,0.0
7500,17002.949229166872,0.11,0.0
7750,18290.449229167236,0.11,0.0
8000,19577.9492291676,0.11,0.0
8250,20166.0140608344,0.255,0.0
8500,20141.014060834765,0.255,0.0
8750,20116.01406083513,0.255,0.0
9000,20091.014060835492,0.255,0.0
9250,20187.44556666911,0.105,0.0
9500,20987.445566669292,0.105,0.0
9750,21787.445566669474,0.105,0.0
10000,22587.445566669656,0.105,0.0
10250,24023.727085002934,0.3775,0.0
10500,24020.560418336383,0.3775,0.0
10750,24750.093751669683,0.3775,0.0
11000,26172.62708500283,0.3775,0.0
11250,26775.908600836334,0.2475,0.0
11500,26750.908600836698,0.2475,0.0
11750,27252.575267503595,0.2475,0.0
12000,28052.575267503777,0.2475,0.0
12250,30112.940119170467,0.37,0.0
12500,32442.717189170606,0.48,0.0
12750,34529.15052250411,0.48,0.0
13000,38092.017189170525,0.48,0.0
13250,38171.46536167083,0.1075,0.0
13500,38146.465361671195,0.1075,0.0
13750,38121.46536167156,0.1075,0.0
14000,38096.46536167192,0.1075,0.0
14250,38876.94688250524,0.24,0.0
14500,38901.946882504875,0.24,0.0
14750,38926.94688250451,0.24,0.0
15000,38951.94688250415,0.24,0.0
15250,39491.62837833754,0.2425,0.0
15500,40191.29504500361,0.2425,0.0
15750,40991.29504500288,0.2425,0.0
16000,41791.29504500215,0.2425,0.0
16250,43048.15986916888,0.31,0.0
16500,44188.059869168916,0.31,0.0
16750,45854.726535834976,0.31,0.0
17000,47521.393202501036,0.31,0.0
17250,47921.65805416723,0.1975,0.0
17500,47846.6580541665,0.1975,0.0
17750,47771.658054165775,0.1975,0.0
18000,48427.92472083238,0.1975,0.0
18250,48466.52288333269,0.0825,0.0
18500,48441.522883333055,0.0825,0.0
18750,49035.58954999926,0.0825,0.0
19000,49835.589549998534,0.0825,0.0
19250,51401.633108331924,0.34,0.0
19500,53183.222562498435,0.4775,0.0
19750,54170.989229164836,0.4775,0.0
20000,56676.75589583083,0.4775,0.0
20250,58125.979627497545,0.3325,0.0
20500,60759.87211083087,0.6225,0.0
20750,61759.8644283307,0.63,0.0
21000,62516.6536991637,0.63,0.0
21250,64454.91852833045,0.3575,0.0
21500,65974.91852832987,0.4225,0.0
21750,67814.91852832894,0.4225,0.0
22000,70581.58519499536,0.4225,0.0
22250,71660.03337499595,0.145,0.0
22500,72735.03337499668,0.145,0.0
22750,73810.03337499741,0.145,0.0
23000,75523.90004166524,0.145,0.0
23250,76234.39820166466,0.21,0.0
23500,76476.06486832963,0.21,0.0
23750,76864.89820166146,0.21,0.0
24000,78161.23153499409,0.21,0.0
24250,80719.91305082747,0.3475,0.0
24500,82456.663050827,0.425,0.0
24750,84339.82971749363,0.425,0.0
25000,86339.82971749363,0.425,0.0
25250,87699.873423327,0.3575,0.0
25500,88274.64008999319,0.3575,0.0
25750,89743.70675665901,0.3575,0.0
26000,91418.70675665828,0.3575,0.0
26250,92252.25494415789,0.1075,0.0
26500,93098.08827749074,0.1075,0.0
26750,94107.58827749037,0.1075,0.0
27000,95778.42161082395,0.1075,0.0
27250,95896.41978332287,0.12,0.0
27500,95917.25311665499,0.12,0.0
27750,96471.35311665431,0.12,0.0
28000,97317.18644998716,0.12,0.0
28250,98386.51678165344,0.295,0.0
28500,98378.1834483184,0.295,0.0
28750,98369.85011498338,0.295,0.0
29000,98361.51678164834,0.295,0.0
29250,99664.91495414835,0.325,0.0
29500,100196.7816208147,0.325,0.0
29750,101046.78162081324,0.325,0.0
30000,101896.78162081179,0.325,0.0
30250,102129.41313914413,0.19,0.0
30500,102555.1798058098,0.19,0.0
30750,103355.17980580908,0.19,0.0
31000,104252.84647247517,0.19,0.0
31250,104282.37596080918,0.1075,0.0
31500,104462.04262747665,0.1075,0.0
31750,105237.0426274781,0.1075,0.0
32000,106012.04262747956,0.1075,0.0
32250,106344.12412331313,0.2075,0.0
32500,106310.79078998028,0.2075,0.0
32750,106277.45745664743,0.2075,0.0
33000,106642.09078998158,0.2075,0.0
33250,107852.15562664806,0.3475,0.0
33500,108702.1556266466,0.3475,0.0
33750,109552.15562664515,0.3475,0.0
34000,110402.1556266437,0.3475,0.0
34250,110873.7871449771,0.16,0.0
34500,111124.2871449771,0.16,0.0
34750,112174.35381164445,0.16,0.0
35000,113475.72047831192,0.16,0.0
35250,114256.91865081192,0.23,0.0
35500,115351.91865081257,0.23,0.0
35750,117250.38531748066,0.23,0.0
36000,119150.38531748211,0.23,0.0
36250,119444.43342998215,0.09,0.0
36500,119694.43342998215,0.09,0.0
36750,119961.93342998215,0.09,0.0
37000,121034.60009664953,0.09,0.0
37250,121130.01250581502,0.1175,0.0
37500,121105.01250581356,0.1175,0.0
37750,121080.0125058121,0.1175,0.0
38000,121055.01250581065,0.1175,0.0
38250,121316.89402414454,0.1325,0.0
38500,122108.56069081242,0.1325,0.0
38750,122900.2273574803,0.1325,0.0
39000,123695.39402414815,0.1325,0.0
39250,124569.79219664798,0.2675,0.0
39500,124918.19219664764,0.2675,0.0
39750,126585.99219664841,0.2675,0.0
40000,129208.69219665002,0.2675,0.0
40250,130066.7537866494,0.1425,0.0
40500,130866.75378664867,0.1425,0.0
40750,131784.2204533168,0.1425,0.0
41000,133409.2204533168,0.1425,0.0
41250,134763.81862581696,0.325,0.0
41500,135855.4852924841,0.325,0.0
41750,136947.15195915126,0.325,0.0
42000,138614.98529248315,0.325,0.0
42250,140422.91677581816,0.2025,0.0
42500,142314.58344248822,0.2025,0.0
42750,144206.25010915828,0.2025,0.0
43000,146097.91677582834,0.2025,0.0
43250,146557.76494832782,0.205,0.0
43500,146778.59828166067,0.205,0.0
43750,147050.8982816601,0.205,0.0
44000,148096.73161499004,0.205,0.0
44250,149482.04645665677,0.3275,0.0
44500,151735.18405499033,0.5525,0.0
44750,152635.18405499178,0.5525,0.0
45000,153535.18405499324,0.5525,0.0
45250,155157.98853499256,0.345,0.0
45500,157237.11296582676,0.48,0.0
45750,159437.07963249282,0.48,0.0
46000,162445.54629915758,0.48,0.0
46250,162898.2611308245,0.2625,0.0
46500,162864.92779749166,0.2625,0.0
46750,162831.5944641588,0.2625,0.0
47000,162798.26113082597,0.2625,0.0
47250,162967.64263415622,0.1,0.0
47500,163483.842634155,0.1,0.0
47750,164417.1759674893,0.1,0.0
48000,165350.5093008236,0.1,0.0
48250,166521.74079665687,0.275,0.0
48500,167596.74079665396,0.275,0.0
48750,168671.74079665105,0.275,0.0
49000,169746.74079664814,0.275,0.0
49250,170324.70322164882,0.0775,0.0
49500,171335.12536915115,0.0775,0.0
49750,172400.1126608204,0.0775,0.0
50000,173465.09995248963,0.0775,0.0
50250,174263.63142832488,0.1675,0.0
50500,175063.6314283278,0.1675,0.0
50750,176403.4980949954,0.1675,0.0
51000,178028.4980949954,0.1675,0.0
51250,179360.44119916283,0.3425,0.0
51500,181710.77197499608,0.5825,0.0
51750,181785.77197499317,0.5825,0.0
52000,181860.77197499026,0.5825,0.0
52250,182478.52015248977,0.2925,0.0
52500,182445.18681915692,0.2925,0.0
52750,183017.7201524887,0.2925,0.0
53000,184336.05348582243,0.2925,0.0
53250,184722.1516433236,0.1275,0.0
53500,184963.8183099922,0.1275,0.0
53750,185205.4849766608,0.1275,0.0
54000,185720.81830999508,0.1275,0.0
54250,185841.79983082632,0.12,0.0
54500,186616.79983082777,0.12,0.0
54750,187391.79983082923,0.12,0.0
55000,188166.79983083069,0.12,0.0
55250,188243.2813366644,0.1425,0.0
55500,188209.94800333155,0.1425,0.0
55750,188399.68133666468,0.1425,0.0
56000,189191.34800332892,0.1425,0.0
56250,190275.72099082902,0.28,0.0
56500,190300.72099083048,0.28,0.0
56750,190325.72099083193,0.28,0.0
57000,190652.98765749892,0.28,0.0
57250,191056.53581999827,0.0575,0.0
57500,191910.7024866625,0.0575,0.0
57750,192764.86915332676,0.0575,0.0
58000,193619.20248665768,0.0575,0.0
58250,194819.2006416581,0.25,0.0
58500,196415.90064165666,0.25,0.0
58750,198803.26730832606,0.25,0.0
59000,201228.26730832897,0.25,0.0
59250,202121.71547583185,0.11,0.0
59500,203496.94880916702,0.11,0.0
59750,205276.11547583417,0.11,0.0
60000,207055.28214250132,0.11,0.0
60250,208444.58031000098,0.37,0.0
60500,208662.8469766688,0.4,0.0
60750,208687.84697667026,0.4,0.0
61000,208712.84697667172,0.4,0.0
61250,209000.2768933404,0.1875,0.0
61500,208925.2768933433,0.1875,0.0
61750,208850.27689334622,0.1875,0.0
62000,208775.27689334913,0.1875,0.0
62250,210358.09174001552,0.3825,0.0
62500,210895.05840668324,0.435,0.0
62750,210920.0584066847,0.435,0.0
63000,210945.05840668615,0.435,0.0
63250,211398.52325835265,0.1525,0.0
63500,211648.52325835265,0.1525,0.0
63750,211898.52325835265,0.1525,0.0
64000,212148.52325835265,0.1525,0.0
64250,212706.03811251884,0.2425,0.0
64500,212681.0381125174,0.2425,0.0
64750,212656.03811251593,0.2425,0.0
65000,212631.03811251448,0.2425,0.0
65250,213059.16626668035,0.2,0.0
65500,213034.1662666789,0.2,0.0
65750,213009.16626667744,0.2,0.0
66000,212984.16626667598,0.2,0.0
66250,214601.981085843,0.17,0.0
66500,216606.1477525087,0.17,0.0
66750,218610.3144191744,0.17,0.0
67000,220614.4810858401,0.17,0.0
67250,221553.42924084153,0.2075,0.0
67500,222353.42924084445,0.2075,0.0
67750,223153.42924084736,0.2075,0.0
68000,223953.42924085027,0.2075,0.0
68250,224300.20452668393,0.105,0.0
68500,224540.20213085093,0.105,0.0
68750,224780.19973501793,0.105,0.0
69000,225430.43009085054,0.105,0.0
69250,226729.92827835048,0.355,0.0
69500,226820.14494501863,0.355,0.0
69750,227636.81161168433,0.355,0.0
70000,228453.47827835003,0.355,0.0
70250,228845.44311751582,0.24,0.0
70500,228820.44311751437,0.24,0.0
70750,229536.60978418353,0.24,0.0
71000,230336.60978418644,0.24,0.0
71250,231585.96842335296,0.3075,0.0
71500,231578.96842335485,0.3075,0.0
71750,231570.63509002345,0.3075,0.0
72000,231562.30175669206,0.3075,0.0
72250,232152.21134585814,0.2225,0.0
72500,232093.87801252384,0.2225,0.0
72750,232035.54467918954,0.2225,0.0
73000,231977.21134585523,0.2225,0.0
73250,232135.57617002388,0.1775,0.0
73500,232060.5761700268,0.1775,0.0
73750,232769.64283669353,0.1775,0.0
74000,233519.64283669353,0.1775,0.0
74250,234966.4378250267,0.3675,0.0
74500,235808.4211583605,0.3675,0.0
74750,236650.08782502764,0.3675,0.0
75000,237491.7544916948,0.3675,0.0
75250,238284.53600002962,0.08,0.0
75500,239242.86933336538,0.08,0.0
75750,240436.13600003367,0.08,0.0
76000,243044.4693333636,0.08,0.0
76250,243287.41750586266,0.185,0.0
76500,243262.4175058612,0.185,0.0
76750,243237.41750585975,0.185,0.0
77000,243212.4175058583,0.185,0.0
77250,243480.38236002394,0.1625,0.0
77500,243455.3823600225,0.1625,0.0
77750,243430.38236002103,0.1625,0.0
78000,243405.38236001958,0.1625,0.0
78250,244497.9807400197,0.28,0.0
78500,244897.81170418594,0.28,0.0
78750,245912.74805835003,0.28,0.0
79000,246990.71629834815,0.28,0.0
79250,247020.01448335065,0.1225,0.0
79500,246945.01448335356,0.1225,0.0
79750,246870.01448335647,0.1225,0.0
80000,246795.01448335938,0.1225,0.0
80250,247730.69597669193,0.25,0.0
80500,248971.329310025,0.25,0.0
80750,251723.02931002696,0.25,0.0
81000,255750.02931002484,0.25,0.0
81250,257117.78772335805,0.345,0.0
81500,257217.45439002605,0.355,0.0
81750,257242.4543900275,0.355,0.0
82000,257267.45439002896,0.355,0.0
82250,257333.36923419434,0.13,0.0
82500,257308.36923419288,0.13,0.0
82750,257283.36923419143,0.13,0.0
83000,257258.36923418997,0.13,0.0
83250,258540.79834252343,0.315,0.0
