timestep,mean_reward,coverage_ratio,average_threat_level
250,181.71483666666668,0.0575,0.0
500,401.41483666666494,0.0575,0.0
750,1384.7481699999971,0.0575,0.0
1000,2368.0815033333456,0.0575,0.0
1250,3456.422363333343,0.335,0.0
1500,3751.1986450000436,0.335,0.0
1750,4047.298645000074,0.335,0.0
2000,5080.631978333377,0.335,0.0
2250,6455.896807500039,0.19,0.0
2500,8080.896807500039,0.19,0.0
2750,9705.89680750004,0.19,0.0
3000,11445.063474166687,0.19,0.0
3250,12067.278328333281,0.2625,0.0
3500,13549.3449949999,0.2625,0.0
3750,17385.01166166647,0.2625,0.0
4000,21874.078328332922,0.2625,0.0
4250,22942.380773332807,0.1325,0.0
4500,24365.638898332654,0.1325,0.0
4750,25788.8970233325,0.1325,0.0
5000,27212.15514833235,0.1325,0.0
5250,28376.169989998994,0.31,0.0
5500,29255.3366566656,0.31,0.0
5750,30134.503323332206,0.31,0.0
6000,31013.669989998813,0.31,0.0
6250,31430.266258332034,0.185,0.0
6500,31505.266258331852,0.185,0.0
6750,31580.26625833167,0.185,0.0
7000,31655.26625833149,0.185,0.0
7250,31710.914445831804,0.1025,0.0
7500,31685.914445832168,0.1025,0.0
7750,31660.91444583253,0.1025,0.0
8000,31635.914445832896,0.1025,0.0
8250,31948.17927499944,0.1325,0.0
8500,32148.179274999256,0.1325,0.0
8750,32468.945941665745,0.1325,0.0
9000,33493.945941665384,0.1325,0.0
9250,33797.19831749895,0.0675,0.0
9500,34828.8213383326,0.0675,0.0
9750,36049.27306833258,0.0675,0.0
10000,38161.08577666603,0.0675,0.0
10250,38217.51729249991,0.065,0.0
10500,38238.35062583385,0.065,0.0
10750,38259.18395916779,0.065,0.0
11000,39267.35062583455,0.065,0.0
11250,40660.73213166797,0.3325,0.0
11500,41789.89879833549,0.3325,0.0
11750,43670.13213166867,0.3325,0.0
12000,45952.965465002024,0.3325,0.0
12250,46575.04368083554,0.1925,0.0
12500,47626.610347501635,0.1925,0.0
12750,48801.61034750091,0.1925,0.0
13000,49976.61034750018,0.1925,0.0
