timestep,mean_reward,coverage_ratio,average_threat_level
250,3291.211484999976,0.0925,0.0
500,8853.199704166725,0.075,0.0
750,1348.799999999974,0.1075,0.0
1000,3760.244325000052,0.0475,0.0
1250,3379.297814166642,0.0775,0.0
1500,2192.4999999999814,0.0575,0.0
1750,1346.1999999999941,0.0675,0.0
2000,5341.03333333332,0.0825,0.0
2250,1802.69999999999,0.1125,0.0
2500,563.6994291666757,0.055,0.0
2750,3709.599427499983,0.0425,0.0
3000,3575.4970449999473,0.0875,0.0
3250,5818.3666666666795,0.1,0.0
3500,4132.033333333354,0.0825,0.0
3750,5710.233333333404,0.0475,0.0
4000,9154.163460000045,0.0625,0.0
4250,7693.666666666722,0.1075,0.0
4500,739.9000000000088,0.0975,0.0
4750,9140.39889666659,0.08,0.0
5000,5604.482779166665,0.0775,0.0
5250,4544.6333333333405,0.1075,0.0
5500,4899.5666666666675,0.07,0.0
5750,1105.332776666686,0.085,0.0
6000,5947.300000000027,0.09,0.0
6250,9141.381930833297,0.055,0.0
6500,933.549424999991,0.035,0.0
6750,1329.1666666666413,0.08,0.0
7000,9293.799999999937,0.07,0.0
7250,9428.949440000055,0.065,0.0
7500,3991.1666666667284,0.07,0.0
7750,6977.449445833289,0.12,0.0
8000,4919.833333333291,0.0825,0.0
8250,3919.299999999989,0.0925,0.0
8500,5432.166666666745,0.095,0.0
8750,1956.8666666666538,0.0475,0.0
9000,10032.966666666565,0.0475,0.0
9250,5285.033333333265,0.0775,0.0
9500,4972.599404166604,0.0375,0.0
9750,4656.894510000023,0.035,0.0
10000,7817.633333333411,0.0625,0.0
10250,4823.2666666667055,0.09,0.0
10500,4679.1999999999125,0.0625,0.0
10750,6354.600000000047,0.0425,0.0
11000,3616.1999999999666,0.0825,0.0
11250,3854.166666666739,0.0875,0.0
11500,4467.1000000000495,0.08,0.0
11750,2362.449124166662,0.0425,0.0
12000,9984.199999999964,0.045,0.0
12250,1715.7649966666581,0.0675,0.0
12500,1901.5333333332871,0.08,0.0
12750,3938.133333333398,0.0875,0.0
13000,6857.7,0.065,0.0
13250,2002.9333333333275,0.065,0.0
13500,1137.4333333333389,0.09,0.0
13750,5812.566666666596,0.1075,0.0
14000,14546.982748333294,0.0775,0.0
14250,7848.833333333254,0.0625,0.0
14500,4134.79999999995,0.0875,0.0
14750,3111.733333333324,0.0925,0.0
15000,2866.5999999999735,0.075,0.0
15250,3472.9666666666553,0.05,0.0
15500,5115.933333333319,0.06,0.0
15750,9204.533333333336,0.0775,0.0
16000,6750.766108333293,0.1025,0.0
16250,4194.100000000076,0.08,0.0
16500,792.1155224999916,0.045,0.0
16750,1798.9986116666641,0.0575,0.0
17000,5501.633333333321,0.075,0.0
17250,2385.8971233333186,0.065,0.0
17500,5916.500000000059,0.1075,0.0
17750,3063.066666666658,0.085,0.0
18000,7579.433333333261,0.085,0.0
18250,10165.316108333163,0.115,0.0
18500,7581.182761666653,0.065,0.0
18750,1532.2637566666667,0.0625,0.0
19000,6167.416095833363,0.0425,0.0
19250,8104.999999999929,0.09,0.0
19500,3568.8800600000177,0.0875,0.0
19750,2096.248839999995,0.0875,0.0
20000,5597.733333333291,0.0575,0.0
20250,7657.81498750009,0.0375,0.0
20500,2547.5666666666434,0.0525,0.0
20750,9013.248172499898,0.0425,0.0
21000,3895.682773333372,0.1075,0.0
21250,2999.2666666666287,0.085,0.0
21500,3518.2634041666156,0.0525,0.0
21750,3984.432762499968,0.0425,0.0
22000,6905.566666666727,0.0575,0.0
22250,3976.6327591666595,0.0675,0.0
22500,1823.2303983333616,0.085,0.0
22750,5726.950000000042,0.11,0.0
23000,5778.647071666754,0.0725,0.0
23250,8557.748184999988,0.0575,0.0
23500,1638.7155066666808,0.0425,0.0
23750,989.6332975000042,0.0225,0.0
24000,4929.033333333392,0.035,0.0
24250,2687.232776666652,0.1025,0.0
24500,6161.799437500087,0.05,0.0
24750,1182.1488066666739,0.09,0.0
25000,1494.7316708333492,0.0625,0.0
25250,4305.999436666626,0.065,0.0
25500,5201.597070833359,0.075,0.0
25750,4848.364829166623,0.06,0.0
26000,2592.532125000012,0.0675,0.0
26250,5876.499436666669,0.0525,0.0
26500,3943.8488000000575,0.0375,0.0
26750,5326.498187499968,0.0675,0.0
27000,6947.116110833287,0.1025,0.0
27250,5563.632766666697,0.0525,0.0
27500,7735.695109166595,0.045,0.0
27750,1393.5488116666572,0.1225,0.0
28000,2900.3827716667074,0.0675,0.0
28250,5784.4640416667025,0.035,0.0
28500,5951.132777499963,0.095,0.0
28750,1535.3239133333334,0.065,0.0
29000,6606.133333333337,0.055,0.0
29250,2859.3000000000256,0.0825,0.0
29500,7276.962630000068,0.1125,0.0
29750,1989.2613966666613,0.08,0.0
30000,7116.778575833418,0.1025,0.0
30250,3337.913769166678,0.08,0.0
30500,3701.2333333333845,0.0775,0.0
30750,8187.281503333455,0.0425,0.0
31000,3712.1914133333325,0.06,0.0
31250,1663.5288500000377,0.07,0.0
31500,4210.079122500038,0.0475,0.0
31750,10044.997076666657,0.095,0.0
32000,4072.3369191666393,0.08,0.0
32250,1041.3539074999999,0.0575,0.0
32500,4263.2264441666275,0.06,0.0
32750,7439.029884999866,0.1,0.0
33000,5098.669553333356,0.0675,0.0
33250,3767.9648541666943,0.055,0.0
33500,2799.0746416666634,0.05,0.0
33750,1425.7814558333478,0.0675,0.0
34000,3610.3971066667286,0.095,0.0
34250,7091.056196666766,0.0775,0.0
34500,3008.0489708333657,0.1025,0.0
34750,3637.1244066667136,0.075,0.0
35000,9008.424346666825,0.035,0.0
35250,8647.907966666651,0.05,0.0
35500,2518.212524166684,0.0375,0.0
35750,3920.6079450000325,0.0875,0.0
36000,4278.392336666742,0.1125,0.0
36250,6845.80770166665,0.0925,0.0
36500,2712.6970708333683,0.065,0.0
36750,14975.394680000216,0.06,0.0
37000,4389.4789575000395,0.045,0.0
37250,1659.9136891667042,0.0625,0.0
37500,8910.437466666637,0.1,0.0
37750,3501.7277933333703,0.055,0.0
38000,8442.520886666738,0.09,0.0
38250,4078.557763333396,0.045,0.0
38500,2115.285069166668,0.0575,0.0
38750,7896.551798333267,0.115,0.0
39000,1579.7395525000002,0.1,0.0
39250,7428.025733333351,0.08,0.0
39500,5815.972953333268,0.0625,0.0
39750,2591.0174291666835,0.0975,0.0
40000,7033.2186700000975,0.0525,0.0
40250,3568.2431391666405,0.045,0.0
40500,2825.158149999985,0.0725,0.0
40750,4305.693137499997,0.0825,0.0
41000,3468.476459999966,0.0825,0.0
41250,3590.893076666685,0.09,0.0
41500,1283.28725583335,0.0975,0.0
